Tipo de alojamiento;Total Nacional;Comunidades y Ciudades Autónomas;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2023M06;2.957.511
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2023M05;3.110.671
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2023M04;2.685.809
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2023M03;1.777.406
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2023M02;1.237.573
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2023M01;1.040.807
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2025M01;28.073
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2024M12;43.134
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2024M11;42.317
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2024M10;164.762
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2024M09;177.476
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2024M08;232.557
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2024M07;219.909
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2024M06;229.477
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2024M05;179.010
Encuesta de Ocupación Hotelera;Total Nacional;04 Balears, Illes;Total;Residentes en España;Viajero;2024M04;111.974
