Tipo de alojamiento;Viajeros y pernoctaciones;Total Nacional;Comunidades y Ciudades Autónomas;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M06;5.013.878
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M05;4.767.452
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M04;3.283.998
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M03;2.430.473
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M02;1.841.646
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M01;1.500.369
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M12;1.577.975
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M11;1.887.404
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M10;3.970.346
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M09;5.001.865
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M08;6.199.898
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M07;5.756.551
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M06;4.427.120
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M05;4.175.368
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M04;3.255.995
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M03;2.052.299
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M02;1.698.437
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M01;1.407.393
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M12;822.560
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M11;965.870
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M10;1.119.644
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M09;1.484.872
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M08;2.235.983
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M07;1.957.281
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M06;1.588.416
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M05;1.331.542
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M04;1.133.859
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M03;1.204.867
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M02;802.889
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M01;637.457
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M12;799.483
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M11;764.570
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M10;1.114.995
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M09;1.384.859
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M08;2.237.798
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M07;1.965.819
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M06;1.552.458
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M05;1.204.838
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M04;1.425.074
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M03;1.090.358
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M02;712.722
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M01;603.564
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M12;761.976
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M11;962.645
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M10;1.557.704
