Tipo de alojamiento;Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2023M08;4,30
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2023M07;4,02
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2023M06;3,58
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2023M05;3,45
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2023M04;3,30
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2023M03;3,65
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2023M02;3,63
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;01 Andalucía;2023M01;3,66
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2024M12;5,33
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2024M11;6,20
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2024M10;5,83
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2024M09;4,94
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2024M08;5,76
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2024M07;5,04
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2024M06;4,85
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2024M05;3,45
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2024M04;4,59
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2024M03;4,67
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2024M02;5,54
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2024M01;5,68
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2023M12;4,27
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2023M11;6,83
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2023M10;6,09
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2023M09;5,62
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2023M08;6,14
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;04 Balears, Illes;2023M07;5,81
