RESIDENCIA/ORIGEN,Países,Viajeros y pernoctaciones,Total,Año,mes,Nom_mes
Total,UE28 sin España,Pernoctaciones,20685054,2019,9,Septiembre
Total,UE28 sin España,Pernoctaciones,23500633,2019,8,Agosto
Total,UE28 sin España,Pernoctaciones,22110924,2019,7,Julio
Total,UE28 sin España,Pernoctaciones,20160683,2019,6,Junio
Total,UE28 sin España,Pernoctaciones,17720120,2019,5,Mayo
Total,UE28 sin España,Pernoctaciones,13075235,2019,4,Abril
Total,UE28 sin España,Pernoctaciones,9996892,2019,3,Marzo
Total,UE28 sin España,Pernoctaciones,7796525,2019,2,Febrero
Total,UE28 sin España,Pernoctaciones,7536252,2019,1,Enero
Total,UE28 sin España,Pernoctaciones,7319635,2018,12,Diciembre
Total,UE28 sin España,Pernoctaciones,8368006,2018,11,Noviembre
Total,UE28 sin España,Pernoctaciones,17663247,2018,10,Octubre
Total,UE28 sin España,Pernoctaciones,21280340,2018,9,Septiembre
Total,UE28 sin España,Pernoctaciones,23832308,2018,8,Agosto
Total,UE28 sin España,Pernoctaciones,22725206,2018,7,Julio
Total,UE28 sin España,Pernoctaciones,20386363,2018,6,Junio
Total,UE28 sin España,Pernoctaciones,18710497,2018,5,Mayo
Total,UE28 sin España,Pernoctaciones,12766655,2018,4,Abril
Total,UE28 sin España,Pernoctaciones,10209199,2018,3,Marzo
Total,UE28 sin España,Pernoctaciones,8009277,2018,2,Febrero
Total,UE28 sin España,Pernoctaciones,7695524,2018,1,Enero
Total,UE28 sin España,Pernoctaciones,7169283,2017,12,Diciembre
Total,UE28 sin España,Pernoctaciones,8417250,2017,11,Noviembre
Total,UE28 sin España,Pernoctaciones,17652497,2017,10,Octubre
Total,UE28 sin España,Pernoctaciones,21702360,2017,9,Septiembre
Total,UE28 sin España,Pernoctaciones,24626851,2017,8,Agosto
Total,UE28 sin España,Pernoctaciones,23548571,2017,7,Julio
Total,UE28 sin España,Pernoctaciones,21059182,2017,6,Junio
Total,UE28 sin España,Pernoctaciones,18478398,2017,5,Mayo
Total,UE28 sin España,Pernoctaciones,13451248,2017,4,Abril
Total,UE28 sin España,Pernoctaciones,9925871,2017,3,Marzo
Total,UE28 sin España,Pernoctaciones,7999434,2017,2,Febrero
Total,UE28 sin España,Pernoctaciones,7733429,2017,1,Enero
Total,UE28 sin España,Pernoctaciones,7387640,2016,12,Diciembre
Total,UE28 sin España,Pernoctaciones,8431121,2016,11,Noviembre
Total,UE28 sin España,Pernoctaciones,17486424,2016,10,Octubre
Total,UE28 sin España,Pernoctaciones,21662455,2016,9,Septiembre
Total,UE28 sin España,Pernoctaciones,25006689,2016,8,Agosto
Total,UE28 sin España,Pernoctaciones,23296385,2016,7,Julio
Total,UE28 sin España,Pernoctaciones,20083054,2016,6,Junio
Total,UE28 sin España,Pernoctaciones,17835646,2016,5,Mayo
Total,UE28 sin España,Pernoctaciones,12383861,2016,4,Abril
Total,UE28 sin España,Pernoctaciones,10175548,2016,3,Marzo
Total,UE28 sin España,Pernoctaciones,7880430,2016,2,Febrero
Total,UE28 sin España,Pernoctaciones,7194914,2016,1,Enero
Total,UE28 sin España,Pernoctaciones,6928538,2015,12,Diciembre
Total,UE28 sin España,Pernoctaciones,7901141,2015,11,Noviembre
Total,UE28 sin España,Pernoctaciones,16061756,2015,10,Octubre
Total,UE28 sin España,Pernoctaciones,19933872,2015,9,Septiembre
Total,UE28 sin España,Pernoctaciones,23346369,2015,8,Agosto
Total,UE28 sin España,Pernoctaciones,21339558,2015,7,Julio
Total,UE28 sin España,Pernoctaciones,17810881,2015,6,Junio
Total,UE28 sin España,Pernoctaciones,16114261,2015,5,Mayo
Total,UE28 sin España,Pernoctaciones,11061527,2015,4,Abril
Total,UE28 sin España,Pernoctaciones,8726719,2015,3,Marzo
Total,UE28 sin España,Pernoctaciones,7025001,2015,2,Febrero
Total,UE28 sin España,Pernoctaciones,6655661,2015,1,Enero
Total,UE28 sin España,Pernoctaciones,6404923,2014,12,Diciembre
Total,UE28 sin España,Pernoctaciones,7191672,2014,11,Noviembre
Total,UE28 sin España,Pernoctaciones,14815639,2014,10,Octubre
Total,UE28 sin España,Pernoctaciones,18851700,2014,9,Septiembre
Total,UE28 sin España,Pernoctaciones,21953316,2014,8,Agosto
Total,UE28 sin España,Pernoctaciones,19469450,2014,7,Julio
Total,UE28 sin España,Pernoctaciones,17336373,2014,6,Junio
Total,UE28 sin España,Pernoctaciones,14996962,2014,5,Mayo
Total,UE28 sin España,Pernoctaciones,10747281,2014,4,Abril
Total,UE28 sin España,Pernoctaciones,9002093,2014,3,Marzo
Total,UE28 sin España,Pernoctaciones,6759246,2014,2,Febrero
Total,UE28 sin España,Pernoctaciones,6543273,2014,1,Enero
Total,UE28 sin España,Pernoctaciones,6302869,2013,12,Diciembre
Total,UE28 sin España,Pernoctaciones,6992716,2013,11,Noviembre
Total,UE28 sin España,Pernoctaciones,14237000,2013,10,Octubre
Total,UE28 sin España,Pernoctaciones,18089067,2013,9,Septiembre
Total,UE28 sin España,Pernoctaciones,21281742,2013,8,Agosto
Total,UE28 sin España,Pernoctaciones,19794206,2013,7,Julio
Total,UE28 sin España,Pernoctaciones,16850114,2013,6,Junio
Total,UE28 sin España,Pernoctaciones,15060762,2013,5,Mayo
Total,UE28 sin España,Pernoctaciones,9713115,2013,4,Abril
Total,UE28 sin España,Pernoctaciones,8463386,2013,3,Marzo
Total,UE28 sin España,Pernoctaciones,6271832,2013,2,Febrero
Total,UE28 sin España,Pernoctaciones,5924527,2013,1,Enero
Total,UE28 sin España,Pernoctaciones,5695514,2012,12,Diciembre
Total,UE28 sin España,Pernoctaciones,6669438,2012,11,Noviembre
Total,UE28 sin España,Pernoctaciones,13438851,2012,10,Octubre
Total,UE28 sin España,Pernoctaciones,17899938,2012,9,Septiembre
Total,UE28 sin España,Pernoctaciones,20903844,2012,8,Agosto
Total,UE28 sin España,Pernoctaciones,19827243,2012,7,Julio
Total,UE28 sin España,Pernoctaciones,16632548,2012,6,Junio
Total,UE28 sin España,Pernoctaciones,14009113,2012,5,Mayo
Total,UE28 sin España,Pernoctaciones,9866287,2012,4,Abril
Total,UE28 sin España,Pernoctaciones,8037632,2012,3,Marzo
Total,UE28 sin España,Pernoctaciones,6575735,2012,2,Febrero
Total,UE28 sin España,Pernoctaciones,6147978,2012,1,Enero
Total,UE28 sin España,Pernoctaciones,5675584,2011,12,Diciembre
Total,UE28 sin España,Pernoctaciones,6752857,2011,11,Noviembre
Total,UE28 sin España,Pernoctaciones,13564694,2011,10,Octubre
Total,UE28 sin España,Pernoctaciones,17158358,2011,9,Septiembre
Total,UE28 sin España,Pernoctaciones,20644864,2011,8,Agosto
Total,UE28 sin España,Pernoctaciones,19387155,2011,7,Julio
Total,UE28 sin España,Pernoctaciones,16559240,2011,6,Junio
Total,UE28 sin España,Pernoctaciones,13610712,2011,5,Mayo
Total,UE28 sin España,Pernoctaciones,10564935,2011,4,Abril
Total,UE28 sin España,Pernoctaciones,8607520,2011,3,Marzo
Total,UE28 sin España,Pernoctaciones,6560847,2011,2,Febrero
Total,UE28 sin España,Pernoctaciones,5895508,2011,1,Enero
Total,UE28 sin España,Pernoctaciones,5306032,2010,12,Diciembre
Total,UE28 sin España,Pernoctaciones,6395158,2010,11,Noviembre
Total,UE28 sin España,Pernoctaciones,12304317,2010,10,Octubre
Total,UE28 sin España,Pernoctaciones,15720374,2010,9,Septiembre
Total,UE28 sin España,Pernoctaciones,18772556,2010,8,Agosto
Total,UE28 sin España,Pernoctaciones,17427001,2010,7,Julio
Total,UE28 sin España,Pernoctaciones,14113694,2010,6,Junio
Total,UE28 sin España,Pernoctaciones,12554691,2010,5,Mayo
Total,UE28 sin España,Pernoctaciones,8570366,2010,4,Abril
Total,UE28 sin España,Pernoctaciones,7228091,2010,3,Marzo
Total,UE28 sin España,Pernoctaciones,5671718,2010,2,Febrero
Total,UE28 sin España,Pernoctaciones,5168811,2010,1,Enero
Total,UE28 sin España,Pernoctaciones,4970785,2009,12,Diciembre
Total,UE28 sin España,Pernoctaciones,5522894,2009,11,Noviembre
Total,UE28 sin España,Pernoctaciones,11089914,2009,10,Octubre
Total,UE28 sin España,Pernoctaciones,14197333,2009,9,Septiembre
Total,UE28 sin España,Pernoctaciones,16724803,2009,8,Agosto
Total,UE28 sin España,Pernoctaciones,16397205,2009,7,Julio
Total,UE28 sin España,Pernoctaciones,13988144,2009,6,Junio
Total,UE28 sin España,Pernoctaciones,12044042,2009,5,Mayo
Total,UE28 sin España,Pernoctaciones,8671222,2009,4,Abril
Total,UE28 sin España,Pernoctaciones,6935607,2009,3,Marzo
Total,UE28 sin España,Pernoctaciones,5429135,2009,2,Febrero
Total,UE28 sin España,Pernoctaciones,5259689,2009,1,Enero
Total,UE28 sin España,Pernoctaciones,5137247,2008,12,Diciembre
Total,UE28 sin España,Pernoctaciones,5939188,2008,11,Noviembre
Total,UE28 sin España,Pernoctaciones,11895170,2008,10,Octubre
Total,UE28 sin España,Pernoctaciones,15648259,2008,9,Septiembre
Total,UE28 sin España,Pernoctaciones,18643981,2008,8,Agosto
Total,UE28 sin España,Pernoctaciones,18046957,2008,7,Julio
Total,UE28 sin España,Pernoctaciones,14970268,2008,6,Junio
Total,UE28 sin España,Pernoctaciones,13620557,2008,5,Mayo
Total,UE28 sin España,Pernoctaciones,9301897,2008,4,Abril
Total,UE28 sin España,Pernoctaciones,8142341,2008,3,Marzo
Total,UE28 sin España,Pernoctaciones,6590458,2008,2,Febrero
Total,UE28 sin España,Pernoctaciones,5991550,2008,1,Enero
Total,UE28 sin España,Pernoctaciones,5799265,2007,12,Diciembre
Total,UE28 sin España,Pernoctaciones,6497940,2007,11,Noviembre
Total,UE28 sin España,Pernoctaciones,12322798,2007,10,Octubre
Total,UE28 sin España,Pernoctaciones,16158141,2007,9,Septiembre
Total,UE28 sin España,Pernoctaciones,18542179,2007,8,Agosto
Total,UE28 sin España,Pernoctaciones,17786029,2007,7,Julio
Total,UE28 sin España,Pernoctaciones,15303526,2007,6,Junio
Total,UE28 sin España,Pernoctaciones,12815057,2007,5,Mayo
Total,UE28 sin España,Pernoctaciones,9461019,2007,4,Abril
Total,UE28 sin España,Pernoctaciones,7913073,2007,3,Marzo
Total,UE28 sin España,Pernoctaciones,6050964,2007,2,Febrero
Total,UE28 sin España,Pernoctaciones,5797104,2007,1,Enero
Total,UE28 sin España,Pernoctaciones,5397110,2006,12,Diciembre
Total,UE28 sin España,Pernoctaciones,6120875,2006,11,Noviembre
Total,UE28 sin España,Pernoctaciones,12235423,2006,10,Octubre
Total,UE28 sin España,Pernoctaciones,15994765,2006,9,Septiembre
Total,UE28 sin España,Pernoctaciones,18031718,2006,8,Agosto
Total,UE28 sin España,Pernoctaciones,17743656,2006,7,Julio
Total,UE28 sin España,Pernoctaciones,15549113,2006,6,Junio
Total,UE28 sin España,Pernoctaciones,13111554,2006,5,Mayo
Total,UE28 sin España,Pernoctaciones,9392084,2006,4,Abril
Total,UE28 sin España,Pernoctaciones,7398828,2006,3,Marzo
Total,UE28 sin España,Pernoctaciones,5819638,2006,2,Febrero
Total,UE28 sin España,Pernoctaciones,5589631,2006,1,Enero
Total,UE28 sin España,Pernoctaciones,4599167,2005,12,Diciembre
Total,UE28 sin España,Pernoctaciones,5642653,2005,11,Noviembre
Total,UE28 sin España,Pernoctaciones,11910466,2005,10,Octubre
Total,UE28 sin España,Pernoctaciones,15330677,2005,9,Septiembre
Total,UE28 sin España,Pernoctaciones,17432624,2005,8,Agosto
Total,UE28 sin España,Pernoctaciones,15990951,2005,7,Julio
Total,UE28 sin España,Pernoctaciones,13680772,2005,6,Junio
Total,UE28 sin España,Pernoctaciones,12047220,2005,5,Mayo
Total,UE28 sin España,Pernoctaciones,7631131,2005,4,Abril
Total,UE28 sin España,Pernoctaciones,6744832,2005,3,Marzo
Total,UE28 sin España,Pernoctaciones,5617422,2005,2,Febrero
Total,UE28 sin España,Pernoctaciones,5193823,2005,1,Enero
Total,UE28 sin España,Pernoctaciones,4482540,2004,12,Diciembre
Total,UE28 sin España,Pernoctaciones,5272334,2004,11,Noviembre
Total,UE28 sin España,Pernoctaciones,11154431,2004,10,Octubre
Total,UE28 sin España,Pernoctaciones,14418050,2004,9,Septiembre
Total,UE28 sin España,Pernoctaciones,16639633,2004,8,Agosto
Total,UE28 sin España,Pernoctaciones,14980817,2004,7,Julio
Total,UE28 sin España,Pernoctaciones,12972128,2004,6,Junio
Total,UE28 sin España,Pernoctaciones,11752991,2004,5,Mayo
Total,UE28 sin España,Pernoctaciones,7945955,2004,4,Abril
Total,UE28 sin España,Pernoctaciones,6851087,2004,3,Marzo
Total,UE28 sin España,Pernoctaciones,5673472,2004,2,Febrero
Total,UE28 sin España,Pernoctaciones,4791381,2004,1,Enero
Total,UE28 sin España,Pernoctaciones,4272248,2003,12,Diciembre
Total,UE28 sin España,Pernoctaciones,4957603,2003,11,Noviembre
Total,UE28 sin España,Pernoctaciones,10953336,2003,10,Octubre
Total,UE28 sin España,Pernoctaciones,14168439,2003,9,Septiembre
Total,UE28 sin España,Pernoctaciones,17208145,2003,8,Agosto
Total,UE28 sin España,Pernoctaciones,15368477,2003,7,Julio
Total,UE28 sin España,Pernoctaciones,14004552,2003,6,Junio
Total,UE28 sin España,Pernoctaciones,12414026,2003,5,Mayo
Total,UE28 sin España,Pernoctaciones,8515019,2003,4,Abril
Total,UE28 sin España,Pernoctaciones,7089094,2003,3,Marzo
Total,UE28 sin España,Pernoctaciones,5317672,2003,2,Febrero
Total,UE28 sin España,Pernoctaciones,4762153,2003,1,Enero
Total,UE28 sin España,Pernoctaciones,4285433,2002,12,Diciembre
Total,UE28 sin España,Pernoctaciones,5040938,2002,11,Noviembre
Total,UE28 sin España,Pernoctaciones,11052423,2002,10,Octubre
Total,UE28 sin España,Pernoctaciones,14212547,2002,9,Septiembre
Total,UE28 sin España,Pernoctaciones,16356288,2002,8,Agosto
Total,UE28 sin España,Pernoctaciones,15145077,2002,7,Julio
Total,UE28 sin España,Pernoctaciones,13238961,2002,6,Junio
Total,UE28 sin España,Pernoctaciones,11984112,2002,5,Mayo
Total,UE28 sin España,Pernoctaciones,7972272,2002,4,Abril
Total,UE28 sin España,Pernoctaciones,7317534,2002,3,Marzo
Total,UE28 sin España,Pernoctaciones,5718027,2002,2,Febrero
Total,UE28 sin España,Pernoctaciones,4836079,2002,1,Enero
Total,UE28 sin España,Pernoctaciones,4491378,2001,12,Diciembre
Total,UE28 sin España,Pernoctaciones,5468169,2001,11,Noviembre
Total,UE28 sin España,Pernoctaciones,11646315,2001,10,Octubre
Total,UE28 sin España,Pernoctaciones,15201723,2001,9,Septiembre
Total,UE28 sin España,Pernoctaciones,16571831,2001,8,Agosto
Total,UE28 sin España,Pernoctaciones,16153309,2001,7,Julio
Total,UE28 sin España,Pernoctaciones,14021934,2001,6,Junio
Total,UE28 sin España,Pernoctaciones,12917877,2001,5,Mayo
Total,UE28 sin España,Pernoctaciones,8715731,2001,4,Abril
Total,UE28 sin España,Pernoctaciones,7251116,2001,3,Marzo
Total,UE28 sin España,Pernoctaciones,5913851,2001,2,Febrero
Total,UE28 sin España,Pernoctaciones,4841534,2001,1,Enero
Total,UE28 sin España,Pernoctaciones,4502024,2000,12,Diciembre
Total,UE28 sin España,Pernoctaciones,5560683,2000,11,Noviembre
Total,UE28 sin España,Pernoctaciones,11667703,2000,10,Octubre
Total,UE28 sin España,Pernoctaciones,14939427,2000,9,Septiembre
Total,UE28 sin España,Pernoctaciones,16427163,2000,8,Agosto
Total,UE28 sin España,Pernoctaciones,15919526,2000,7,Julio
Total,UE28 sin España,Pernoctaciones,14476376,2000,6,Junio
Total,UE28 sin España,Pernoctaciones,12856748,2000,5,Mayo
Total,UE28 sin España,Pernoctaciones,9043705,2000,4,Abril
Total,UE28 sin España,Pernoctaciones,7467921,2000,3,Marzo
Total,UE28 sin España,Pernoctaciones,5715636,2000,2,Febrero
Total,UE28 sin España,Pernoctaciones,4834422,2000,1,Enero
Total,UE28 sin España,Pernoctaciones,4567771,1999,12,Diciembre
Total,UE28 sin España,Pernoctaciones,5985159,1999,11,Noviembre
Total,UE28 sin España,Pernoctaciones,12903311,1999,10,Octubre
Total,UE28 sin España,Pernoctaciones,15617664,1999,9,Septiembre
Total,UE28 sin España,Pernoctaciones,17531007,1999,8,Agosto
Total,UE28 sin España,Pernoctaciones,16408709,1999,7,Julio
Total,UE28 sin España,Pernoctaciones,15191130,1999,6,Junio
Total,UE28 sin España,Pernoctaciones,14065579,1999,5,Mayo
Total,UE28 sin España,Pernoctaciones,9023143,1999,4,Abril
Total,UE28 sin España,Pernoctaciones,7127056,1999,3,Marzo
Total,UE28 sin España,Pernoctaciones,6071945,1999,2,Febrero
Total,UE28 sin España,Pernoctaciones,5596782,1999,1,Enero
Total,UE27_2020 sin España,Viajero,2872381,2025,4,Abril
Total,UE27_2020 sin España,Viajero,1966835,2025,3,Marzo
Total,UE27_2020 sin España,Viajero,1612446,2025,2,Febrero
Total,UE27_2020 sin España,Viajero,1383317,2025,1,Enero
Total,UE27_2020 sin España,Viajero,1435720,2024,12,Diciembre
Total,UE27_2020 sin España,Viajero,1622585,2024,11,Noviembre
Total,UE27_2020 sin España,Viajero,3169666,2024,10,Octubre
Total,UE27_2020 sin España,Viajero,3417875,2024,9,Septiembre
Total,UE27_2020 sin España,Viajero,4148044,2024,8,Agosto
Total,UE27_2020 sin España,Viajero,3647244,2024,7,Julio
Total,UE27_2020 sin España,Viajero,3201114,2024,6,Junio
Total,UE27_2020 sin España,Viajero,3533035,2024,5,Mayo
Total,UE27_2020 sin España,Viajero,2773937,2024,4,Abril
Total,UE27_2020 sin España,Viajero,2063051,2024,3,Marzo
Total,UE27_2020 sin España,Viajero,1576948,2024,2,Febrero
Total,UE27_2020 sin España,Viajero,1363225,2024,1,Enero
Total,UE27_2020 sin España,Viajero,1420821,2023,12,Diciembre
Total,UE27_2020 sin España,Viajero,1574388,2023,11,Noviembre
Total,UE27_2020 sin España,Viajero,2938171,2023,10,Octubre
Total,UE27_2020 sin España,Viajero,3332417,2023,9,Septiembre
Total,UE27_2020 sin España,Viajero,3971387,2023,8,Agosto
Total,UE27_2020 sin España,Viajero,3496025,2023,7,Julio
Total,UE27_2020 sin España,Viajero,3001868,2023,6,Junio
Total,UE27_2020 sin España,Viajero,3118954,2023,5,Mayo
Total,UE27_2020 sin España,Viajero,2681089,2023,4,Abril
Total,UE27_2020 sin España,Viajero,1722878,2023,3,Marzo
Total,UE27_2020 sin España,Viajero,1407046,2023,2,Febrero
Total,UE27_2020 sin España,Viajero,1242977,2023,1,Enero
Total,UE27_2020 sin España,Viajero,1248251,2022,12,Diciembre
Total,UE27_2020 sin España,Viajero,1396573,2022,11,Noviembre
Total,UE27_2020 sin España,Viajero,2670862,2022,10,Octubre
Total,UE27_2020 sin España,Viajero,3096103,2022,9,Septiembre
Total,UE27_2020 sin España,Viajero,3798898,2022,8,Agosto
Total,UE27_2020 sin España,Viajero,3352820,2022,7,Julio
Total,UE27_2020 sin España,Viajero,2917080,2022,6,Junio
Total,UE27_2020 sin España,Viajero,2842525,2022,5,Mayo
Total,UE27_2020 sin España,Viajero,2290155,2022,4,Abril
Total,UE27_2020 sin España,Viajero,1444583,2022,3,Marzo
Total,UE27_2020 sin España,Viajero,1148286,2022,2,Febrero
Total,UE27_2020 sin España,Viajero,822382,2022,1,Enero
Total,UE27_2020 sin España,Viajero,989017,2021,12,Diciembre
Total,UE27_2020 sin España,Viajero,1280206,2021,11,Noviembre
Total,UE27_2020 sin España,Viajero,2188664,2021,10,Octubre
Total,UE27_2020 sin España,Viajero,2121711,2021,9,Septiembre
Total,UE27_2020 sin España,Viajero,2411917,2021,8,Agosto
Total,UE27_2020 sin España,Viajero,1857556,2021,7,Julio
Total,UE27_2020 sin España,Viajero,1101889,2021,6,Junio
Total,UE27_2020 sin España,Viajero,604125,2021,5,Mayo
Total,UE27_2020 sin España,Viajero,264579,2021,4,Abril
Total,UE27_2020 sin España,Viajero,203176,2021,3,Marzo
Total,UE27_2020 sin España,Viajero,127428,2021,2,Febrero
Total,UE27_2020 sin España,Viajero,145623,2021,1,Enero
Total,UE27_2020 sin España,Viajero,183141,2020,12,Diciembre
Total,UE27_2020 sin España,Viajero,152301,2020,11,Noviembre
Total,UE27_2020 sin España,Viajero,316229,2020,10,Octubre
Total,UE27_2020 sin España,Viajero,387279,2020,9,Septiembre
Total,UE27_2020 sin España,Viajero,946999,2020,8,Agosto
Total,UE27_2020 sin España,Viajero,803469,2020,7,Julio
Total,UE27_2020 sin España,Viajero,,2020,6,Junio
Total,UE27_2020 sin España,Viajero,,2020,5,Mayo
Total,UE27_2020 sin España,Viajero,,2020,4,Abril
Total,UE27_2020 sin España,Viajero,613268,2020,3,Marzo
Total,UE27_2020 sin España,Viajero,1419112,2020,2,Febrero
Total,UE27_2020 sin España,Viajero,1213326,2020,1,Enero
Total,UE27_2020 sin España,Viajero,1242887,2019,12,Diciembre
Total,UE27_2020 sin España,Viajero,1432792,2019,11,Noviembre
Total,UE27_2020 sin España,Viajero,2675645,2019,10,Octubre
Total,UE27_2020 sin España,Viajero,3054406,2019,9,Septiembre
Total,UE27_2020 sin España,Viajero,3645120,2019,8,Agosto
Total,UE27_2020 sin España,Viajero,3196980,2019,7,Julio
Total,UE27_2020 sin España,Viajero,2990951,2019,6,Junio
Total,UE27_2020 sin España,Viajero,2929238,2019,5,Mayo
Total,UE27_2020 sin España,Viajero,2474993,2019,4,Abril
Total,UE27_2020 sin España,Viajero,1753806,2019,3,Marzo
Total,UE27_2020 sin España,Viajero,1325750,2019,2,Febrero
Total,UE27_2020 sin España,Viajero,,2019,1,Enero
Total,UE27_2020 sin España,Viajero,,2018,12,Diciembre
Total,UE27_2020 sin España,Viajero,,2018,11,Noviembre
Total,UE27_2020 sin España,Viajero,,2018,10,Octubre
Total,UE27_2020 sin España,Viajero,,2018,9,Septiembre
Total,UE27_2020 sin España,Viajero,,2018,8,Agosto
Total,UE27_2020 sin España,Viajero,,2018,7,Julio
Total,UE27_2020 sin España,Viajero,,2018,6,Junio
Total,UE27_2020 sin España,Viajero,,2018,5,Mayo
Total,UE27_2020 sin España,Viajero,,2018,4,Abril
Total,UE27_2020 sin España,Viajero,,2018,3,Marzo
Total,UE27_2020 sin España,Viajero,,2018,2,Febrero
Total,UE27_2020 sin España,Viajero,,2018,1,Enero
Total,UE27_2020 sin España,Viajero,,2017,12,Diciembre
Total,UE27_2020 sin España,Viajero,,2017,11,Noviembre
Total,UE27_2020 sin España,Viajero,,2017,10,Octubre
Total,UE27_2020 sin España,Viajero,,2017,9,Septiembre
Total,UE27_2020 sin España,Viajero,,2017,8,Agosto
Total,UE27_2020 sin España,Viajero,,2017,7,Julio
Total,UE27_2020 sin España,Viajero,,2017,6,Junio
Total,UE27_2020 sin España,Viajero,,2017,5,Mayo
Total,UE27_2020 sin España,Viajero,,2017,4,Abril
Total,UE27_2020 sin España,Viajero,,2017,3,Marzo
Total,UE27_2020 sin España,Viajero,,2017,2,Febrero
Total,UE27_2020 sin España,Viajero,,2017,1,Enero
Total,UE27_2020 sin España,Viajero,,2016,12,Diciembre
Total,UE27_2020 sin España,Viajero,,2016,11,Noviembre
Total,UE27_2020 sin España,Viajero,,2016,10,Octubre
Total,UE27_2020 sin España,Viajero,,2016,9,Septiembre
Total,UE27_2020 sin España,Viajero,,2016,8,Agosto
Total,UE27_2020 sin España,Viajero,,2016,7,Julio
Total,UE27_2020 sin España,Viajero,,2016,6,Junio
Total,UE27_2020 sin España,Viajero,,2016,5,Mayo
Total,UE27_2020 sin España,Viajero,,2016,4,Abril
Total,UE27_2020 sin España,Viajero,,2016,3,Marzo
Total,UE27_2020 sin España,Viajero,,2016,2,Febrero
Total,UE27_2020 sin España,Viajero,,2016,1,Enero
Total,UE27_2020 sin España,Viajero,,2015,12,Diciembre
Total,UE27_2020 sin España,Viajero,,2015,11,Noviembre
Total,UE27_2020 sin España,Viajero,,2015,10,Octubre
Total,UE27_2020 sin España,Viajero,,2015,9,Septiembre
Total,UE27_2020 sin España,Viajero,,2015,8,Agosto
Total,UE27_2020 sin España,Viajero,,2015,7,Julio
Total,UE27_2020 sin España,Viajero,,2015,6,Junio
Total,UE27_2020 sin España,Viajero,,2015,5,Mayo
Total,UE27_2020 sin España,Viajero,,2015,4,Abril
Total,UE27_2020 sin España,Viajero,,2015,3,Marzo
Total,UE27_2020 sin España,Viajero,,2015,2,Febrero
Total,UE27_2020 sin España,Viajero,,2015,1,Enero
Total,UE27_2020 sin España,Viajero,,2014,12,Diciembre
Total,UE27_2020 sin España,Viajero,,2014,11,Noviembre
Total,UE27_2020 sin España,Viajero,,2014,10,Octubre
Total,UE27_2020 sin España,Viajero,,2014,9,Septiembre
Total,UE27_2020 sin España,Viajero,,2014,8,Agosto
Total,UE27_2020 sin España,Viajero,,2014,7,Julio
Total,UE27_2020 sin España,Viajero,,2014,6,Junio
Total,UE27_2020 sin España,Viajero,,2014,5,Mayo
Total,UE27_2020 sin España,Viajero,,2014,4,Abril
Total,UE27_2020 sin España,Viajero,,2014,3,Marzo
Total,UE27_2020 sin España,Viajero,,2014,2,Febrero
Total,UE27_2020 sin España,Viajero,,2014,1,Enero
Total,UE27_2020 sin España,Viajero,,2013,12,Diciembre
Total,UE27_2020 sin España,Viajero,,2013,11,Noviembre
Total,UE27_2020 sin España,Viajero,,2013,10,Octubre
Total,UE27_2020 sin España,Viajero,,2013,9,Septiembre
Total,UE27_2020 sin España,Viajero,,2013,8,Agosto
Total,UE27_2020 sin España,Viajero,,2013,7,Julio
Total,UE27_2020 sin España,Viajero,,2013,6,Junio
Total,UE27_2020 sin España,Viajero,,2013,5,Mayo
Total,UE27_2020 sin España,Viajero,,2013,4,Abril
Total,UE27_2020 sin España,Viajero,,2013,3,Marzo
Total,UE27_2020 sin España,Viajero,,2013,2,Febrero
Total,UE27_2020 sin España,Viajero,,2013,1,Enero
Total,UE27_2020 sin España,Viajero,,2012,12,Diciembre
Total,UE27_2020 sin España,Viajero,,2012,11,Noviembre
Total,UE27_2020 sin España,Viajero,,2012,10,Octubre
Total,UE27_2020 sin España,Viajero,,2012,9,Septiembre
Total,UE27_2020 sin España,Viajero,,2012,8,Agosto
Total,UE27_2020 sin España,Viajero,,2012,7,Julio
Total,UE27_2020 sin España,Viajero,,2012,6,Junio
Total,UE27_2020 sin España,Viajero,,2012,5,Mayo
Total,UE27_2020 sin España,Viajero,,2012,4,Abril
Total,UE27_2020 sin España,Viajero,,2012,3,Marzo
Total,UE27_2020 sin España,Viajero,,2012,2,Febrero
Total,UE27_2020 sin España,Viajero,,2012,1,Enero
Total,UE27_2020 sin España,Viajero,,2011,12,Diciembre
Total,UE27_2020 sin España,Viajero,,2011,11,Noviembre
Total,UE27_2020 sin España,Viajero,,2011,10,Octubre
Total,UE27_2020 sin España,Viajero,,2011,9,Septiembre
Total,UE27_2020 sin España,Viajero,,2011,8,Agosto
Total,UE27_2020 sin España,Viajero,,2011,7,Julio
Total,UE27_2020 sin España,Viajero,,2011,6,Junio
Total,UE27_2020 sin España,Viajero,,2011,5,Mayo
Total,UE27_2020 sin España,Viajero,,2011,4,Abril
Total,UE27_2020 sin España,Viajero,,2011,3,Marzo
Total,UE27_2020 sin España,Viajero,,2011,2,Febrero
Total,UE27_2020 sin España,Viajero,,2011,1,Enero
Total,UE27_2020 sin España,Viajero,,2010,12,Diciembre
Total,UE27_2020 sin España,Viajero,,2010,11,Noviembre
Total,UE27_2020 sin España,Viajero,,2010,10,Octubre
Total,UE27_2020 sin España,Viajero,,2010,9,Septiembre
Total,UE27_2020 sin España,Viajero,,2010,8,Agosto
