RESIDENCIA/ORIGEN,Países,Viajeros y pernoctaciones,Total,Año,mes,Nom_mes
Total,,Viajero,7357196,2006,10,Octubre
Total,,Viajero,8420366,2006,9,Septiembre
Total,,Viajero,9713364,2006,8,Agosto
Total,,Viajero,9057841,2006,7,Julio
Total,,Viajero,8156578,2006,6,Junio
Total,,Viajero,7591789,2006,5,Mayo
Total,,Viajero,7293282,2006,4,Abril
Total,,Viajero,5763835,2006,3,Marzo
Total,,Viajero,4709293,2006,2,Febrero
Total,,Viajero,4004676,2006,1,Enero
Total,,Viajero,4030203,2005,12,Diciembre
Total,,Viajero,4511989,2005,11,Noviembre
Total,,Viajero,6414668,2005,10,Octubre
Total,,Viajero,7442751,2005,9,Septiembre
Total,,Viajero,8555081,2005,8,Agosto
Total,,Viajero,7795374,2005,7,Julio
Total,,Viajero,6971240,2005,6,Junio
Total,,Viajero,6737689,2005,5,Mayo
Total,,Viajero,5516765,2005,4,Abril
Total,,Viajero,5247632,2005,3,Marzo
Total,,Viajero,4048915,2005,2,Febrero
Total,,Viajero,3356718,2005,1,Enero
Total,,Viajero,3877669,2004,12,Diciembre
Total,,Viajero,4135114,2004,11,Noviembre
Total,,Viajero,6227271,2004,10,Octubre
Total,,Viajero,6996313,2004,9,Septiembre
Total,,Viajero,8174422,2004,8,Agosto
Total,,Viajero,7232976,2004,7,Julio
Total,,Viajero,6525030,2004,6,Junio
Total,,Viajero,6211439,2004,5,Mayo
Total,,Viajero,5591761,2004,4,Abril
Total,,Viajero,4735606,2004,3,Marzo
Total,,Viajero,3970007,2004,2,Febrero
Total,,Viajero,3153660,2004,1,Enero
Total,,Viajero,3588510,2003,12,Diciembre
Total,,Viajero,3868099,2003,11,Noviembre
Total,,Viajero,5537248,2003,10,Octubre
Total,,Viajero,6517598,2003,9,Septiembre
Total,,Viajero,7697588,2003,8,Agosto
Total,,Viajero,6795963,2003,7,Julio
Total,,Viajero,6276681,2003,6,Junio
Total,,Viajero,5984961,2003,5,Mayo
Total,,Viajero,5408500,2003,4,Abril
Total,,Viajero,4421552,2003,3,Marzo
Total,,Viajero,3463674,2003,2,Febrero
Total,,Viajero,2971006,2003,1,Enero
Total,,Viajero,3383399,2002,12,Diciembre
Total,,Viajero,3714810,2002,11,Noviembre
Total,,Viajero,5360250,2002,10,Octubre
Total,,Viajero,6224753,2002,9,Septiembre
Total,,Viajero,7383775,2002,8,Agosto
Total,,Viajero,6407711,2002,7,Julio
Total,,Viajero,5725690,2002,6,Junio
Total,,Viajero,5677357,2002,5,Mayo
Total,,Viajero,4853120,2002,4,Abril
Total,,Viajero,4756621,2002,3,Marzo
Total,,Viajero,3507891,2002,2,Febrero
Total,,Viajero,2873435,2002,1,Enero
Total,,Viajero,3214821,2001,12,Diciembre
Total,,Viajero,3657828,2001,11,Noviembre
Total,,Viajero,5310403,2001,10,Octubre
Total,,Viajero,6307038,2001,9,Septiembre
Total,,Viajero,7179051,2001,8,Agosto
Total,,Viajero,6405959,2001,7,Julio
Total,,Viajero,5914352,2001,6,Junio
Total,,Viajero,5673119,2001,5,Mayo
Total,,Viajero,5384678,2001,4,Abril
Total,,Viajero,4333254,2001,3,Marzo
Total,,Viajero,3518883,2001,2,Febrero
Total,,Viajero,3004915,2001,1,Enero
Total,,Viajero,3347855,2000,12,Diciembre
Total,,Viajero,3691092,2000,11,Noviembre
Total,,Viajero,5368961,2000,10,Octubre
Total,,Viajero,6327590,2000,9,Septiembre
Total,,Viajero,6994683,2000,8,Agosto
Total,,Viajero,6374389,2000,7,Julio
Total,,Viajero,5806706,2000,6,Junio
Total,,Viajero,5592100,2000,5,Mayo
Total,,Viajero,5335325,2000,4,Abril
Total,,Viajero,4244207,2000,3,Marzo
Total,,Viajero,3390877,2000,2,Febrero
Total,,Viajero,2808737,2000,1,Enero
Total,,Viajero,3204082,1999,12,Diciembre
Total,,Viajero,3570715,1999,11,Noviembre
