Totales Territoriales;Provincias;Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2024M07;1,32
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2024M06;1,03
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2024M05;1,13
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2024M04;1,24
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2024M03;1,13
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2024M02;2,65
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2024M01;0,76
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2023M12;0,59
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2023M11;0,72
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2023M10;0,91
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2023M09;1,50
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2023M08;1,44
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2023M07;1,47
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2023M06;1,99
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2023M05;2,52
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2023M04;1,89
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2023M03;0,65
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2023M02;0,60
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2023M01;0,46
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2022M12;0,51
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2022M11;1,00
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2022M10;1,19
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2022M09;1,46
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2022M08;1,14
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2022M07;1,74
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2022M06;1,86
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2022M05;1,64
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2022M04;0,40
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2022M03;2,34
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2022M02;0,61
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Pernoctaciones;2022M01;0,62
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2025M03;1,01
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2025M02;0,42
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2025M01;0,77
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2024M12;0,36
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2024M11;0,71
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2024M10;1,12
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2024M09;1,46
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2024M08;1,46
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2024M07;1,63
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2024M06;2,11
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2024M05;0,96
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2024M04;0,78
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2024M03;1,01
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2024M02;1,91
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2024M01;1,64
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2023M12;0,60
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2023M11;2,72
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2023M10;0,66
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2023M09;1,91
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2023M08;1,75
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2023M07;1,85
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2023M06;1,90
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Viajero;2023M05;1,09
