Zonas Turísticas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2020M12;18.770
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2020M11;23.410
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2020M10;49.675
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2020M09;124.168
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2020M08;364.485
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2020M07;131.174
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2020M06;.
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2020M05;.
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2020M04;0
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2020M03;51.615
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2020M02;111.587
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2020M01;40.927
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2025M03;1.013.736
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2025M02;458.126
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2025M01;162.319
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2024M12;201.321
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2024M11;289.684
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2024M10;5.442.759
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2024M09;6.771.813
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2024M08;7.964.889
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2024M07;7.835.717
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2024M06;6.766.147
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2024M05;6.084.069
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2024M04;2.884.773
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2024M03;1.352.789
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2024M02;403.334
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2024M01;155.419
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2023M12;185.133
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2023M11;316.922
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2023M10;4.865.823
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2023M09;6.394.251
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2023M08;7.682.427
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2023M07;7.485.050
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2023M06;6.213.301
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2023M05;5.263.152
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2023M04;2.859.974
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2023M03;754.320
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2023M02;315.717
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2023M01;143.997
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2022M12;160.136
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2022M11;289.530
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2022M10;4.301.171
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2022M09;6.057.652
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en el Extranjero;2022M08;7.273.552
