Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2021M07;1.270.486
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2021M06;625.488
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2021M05;289.115
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2021M04;118.235
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2021M03;107.068
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2021M02;46.739
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2021M01;48.099
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2020M12;60.570
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2020M11;38.018
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2020M10;171.331
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2020M09;486.557
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2020M08;1.170.335
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2020M07;774.095
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2020M06;108.260
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2020M05;2.712
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2020M04;0
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2020M03;145.900
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2020M02;304.085
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;;2020M01;209.492
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2025M03;238.161
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2025M02;153.957
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2025M01;134.300
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2024M12;146.726
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2024M11;141.791
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2024M10;243.188
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2024M09;341.466
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2024M08;743.025
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2024M07;519.927
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2024M06;491.870
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2024M05;359.515
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2024M04;231.609
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2024M03;267.739
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2024M02;125.343
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2024M01;120.857
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2023M12;176.705
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2023M11;130.560
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2023M10;266.361
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2023M09;380.955
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2023M08;789.014
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2023M07;591.426
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2023M06;485.185
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2023M05;294.462
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2023M04;385.678
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2023M03;190.360
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2023M02;145.810
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2023M01;138.992
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2022M12;189.849
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2022M11;130.250
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2022M10;253.035
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2022M09;372.824
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2022M08;826.799
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2022M07;619.760
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2022M06;525.728
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2022M05;294.420
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2022M04;341.555
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2022M03;193.695
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2022M02;158.061
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2022M01;148.330
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2021M12;190.551
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2021M11;116.200
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2021M10;252.824
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2021M09;419.560
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2021M08;1.061.665
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2021M07;668.729
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2021M06;419.158
