Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Periodo	Total
Total Nacional	13 Madrid, Comunidad de		2005M09	2,03
Total Nacional	13 Madrid, Comunidad de		2005M08	2,07
Total Nacional	13 Madrid, Comunidad de		2005M07	2
Total Nacional	13 Madrid, Comunidad de		2005M06	2,03
Total Nacional	13 Madrid, Comunidad de		2005M05	2,09
Total Nacional	13 Madrid, Comunidad de		2005M04	2,07
Total Nacional	13 Madrid, Comunidad de		2005M03	2,12
Total Nacional	13 Madrid, Comunidad de		2005M02	2,01
Total Nacional	13 Madrid, Comunidad de		2005M01	2,09
Total Nacional	13 Madrid, Comunidad de		2004M12	2,12
Total Nacional	13 Madrid, Comunidad de		2004M11	2,02
Total Nacional	13 Madrid, Comunidad de		2004M10	2,1
Total Nacional	13 Madrid, Comunidad de		2004M09	2,03
Total Nacional	13 Madrid, Comunidad de		2004M08	2,09
Total Nacional	13 Madrid, Comunidad de		2004M07	2,03
Total Nacional	13 Madrid, Comunidad de		2004M06	2
Total Nacional	13 Madrid, Comunidad de		2004M05	2,15
Total Nacional	13 Madrid, Comunidad de		2004M04	2,12
Total Nacional	13 Madrid, Comunidad de		2004M03	2,1
Total Nacional	13 Madrid, Comunidad de		2004M02	2,06
Total Nacional	13 Madrid, Comunidad de		2004M01	2,09
Total Nacional	13 Madrid, Comunidad de		2003M12	2,07
Total Nacional	13 Madrid, Comunidad de		2003M11	2,12
Total Nacional	13 Madrid, Comunidad de		2003M10	2,14
Total Nacional	13 Madrid, Comunidad de		2003M09	2,1
Total Nacional	13 Madrid, Comunidad de		2003M08	2,16
Total Nacional	13 Madrid, Comunidad de		2003M07	2,11
Total Nacional	13 Madrid, Comunidad de		2003M06	2,12
Total Nacional	13 Madrid, Comunidad de		2003M05	2,17
Total Nacional	13 Madrid, Comunidad de		2003M04	2,17
Total Nacional	13 Madrid, Comunidad de		2003M03	2,15
Total Nacional	13 Madrid, Comunidad de		2003M02	2,08
Total Nacional	13 Madrid, Comunidad de		2003M01	2,15
Total Nacional	13 Madrid, Comunidad de		2002M12	2,12
Total Nacional	13 Madrid, Comunidad de		2002M11	2,22
Total Nacional	13 Madrid, Comunidad de		2002M10	2,12
Total Nacional	13 Madrid, Comunidad de		2002M09	2,12
Total Nacional	13 Madrid, Comunidad de		2002M08	2,16
Total Nacional	13 Madrid, Comunidad de		2002M07	2,12
Total Nacional	13 Madrid, Comunidad de		2002M06	2,15
Total Nacional	13 Madrid, Comunidad de		2002M05	2,21
Total Nacional	13 Madrid, Comunidad de		2002M04	2,21
Total Nacional	13 Madrid, Comunidad de		2002M03	2,23
Total Nacional	13 Madrid, Comunidad de		2002M02	2,2
Total Nacional	13 Madrid, Comunidad de		2002M01	2,18
Total Nacional	13 Madrid, Comunidad de		2001M12	2,18
Total Nacional	13 Madrid, Comunidad de		2001M11	2,2
Total Nacional	13 Madrid, Comunidad de		2001M10	2,18
Total Nacional	13 Madrid, Comunidad de		2001M09	2,17
Total Nacional	13 Madrid, Comunidad de		2001M08	2,09
Total Nacional	13 Madrid, Comunidad de		2001M07	2,21
Total Nacional	13 Madrid, Comunidad de		2001M06	2,25
Total Nacional	13 Madrid, Comunidad de		2001M05	2,21
Total Nacional	13 Madrid, Comunidad de		2001M04	2,26
Total Nacional	13 Madrid, Comunidad de		2001M03	2,15
Total Nacional	13 Madrid, Comunidad de		2001M02	2,18
Total Nacional	13 Madrid, Comunidad de		2001M01	2,15
Total Nacional	13 Madrid, Comunidad de		2000M12	2,2
Total Nacional	13 Madrid, Comunidad de		2000M11	2,2
Total Nacional	13 Madrid, Comunidad de		2000M10	2,2
Total Nacional	13 Madrid, Comunidad de		2000M09	2,2
Total Nacional	13 Madrid, Comunidad de		2000M08	2,1
Total Nacional	13 Madrid, Comunidad de		2000M07	2,1
Total Nacional	13 Madrid, Comunidad de		2000M06	2,2
Total Nacional	13 Madrid, Comunidad de		2000M05	2,2
Total Nacional	13 Madrid, Comunidad de		2000M04	2,2
Total Nacional	13 Madrid, Comunidad de		2000M03	2,2
Total Nacional	13 Madrid, Comunidad de		2000M02	2,2
Total Nacional	13 Madrid, Comunidad de		2000M01	2,3
Total Nacional	13 Madrid, Comunidad de		1999M12	2,2
Total Nacional	13 Madrid, Comunidad de		1999M11	2,2
Total Nacional	13 Madrid, Comunidad de		1999M10	2,2
Total Nacional	13 Madrid, Comunidad de		1999M09	2,1
Total Nacional	13 Madrid, Comunidad de		1999M08	2,2
Total Nacional	13 Madrid, Comunidad de		1999M07	2,1
Total Nacional	13 Madrid, Comunidad de		1999M06	2,1
Total Nacional	13 Madrid, Comunidad de		1999M05	2,1
Total Nacional	13 Madrid, Comunidad de		1999M04	2,2
Total Nacional	13 Madrid, Comunidad de		1999M03	2,2
Total Nacional	13 Madrid, Comunidad de		1999M02	2,2
Total Nacional	13 Madrid, Comunidad de		1999M01	2,2
Total Nacional	14 Murcia, Región de		2025M03	2,41
Total Nacional	14 Murcia, Región de		2025M02	1,98
Total Nacional	14 Murcia, Región de		2025M01	1,88
Total Nacional	14 Murcia, Región de		2024M12	1,8
Total Nacional	14 Murcia, Región de		2024M11	2,03
Total Nacional	14 Murcia, Región de		2024M10	2,22
Total Nacional	14 Murcia, Región de		2024M09	2,55
Total Nacional	14 Murcia, Región de		2024M08	2,57
Total Nacional	14 Murcia, Región de		2024M07	2,38
Total Nacional	14 Murcia, Región de		2024M06	2,38
Total Nacional	14 Murcia, Región de		2024M05	2,44
Total Nacional	14 Murcia, Región de		2024M04	2,28
Total Nacional	14 Murcia, Región de		2024M03	2,34
Total Nacional	14 Murcia, Región de		2024M02	2,13
Total Nacional	14 Murcia, Región de		2024M01	1,86
Total Nacional	14 Murcia, Región de		2023M12	1,83
Total Nacional	14 Murcia, Región de		2023M11	2,01
Total Nacional	14 Murcia, Región de		2023M10	2,19
Total Nacional	14 Murcia, Región de		2023M09	2,33
Total Nacional	14 Murcia, Región de		2023M08	2,62
Total Nacional	14 Murcia, Región de		2023M07	2,39
Total Nacional	14 Murcia, Región de		2023M06	2,36
Total Nacional	14 Murcia, Región de		2023M05	2,48
Total Nacional	14 Murcia, Región de		2023M04	2,38
Total Nacional	14 Murcia, Región de		2023M03	2,34
Total Nacional	14 Murcia, Región de		2023M02	1,99
Total Nacional	14 Murcia, Región de		2023M01	1,8
Total Nacional	14 Murcia, Región de		2022M12	1,85
Total Nacional	14 Murcia, Región de		2022M11	2,02
Total Nacional	14 Murcia, Región de		2022M10	2,18
Total Nacional	14 Murcia, Región de		2022M09	2,33
Total Nacional	14 Murcia, Región de		2022M08	2,53
Total Nacional	14 Murcia, Región de		2022M07	2,38
Total Nacional	14 Murcia, Región de		2022M06	2,36
Total Nacional	14 Murcia, Región de		2022M05	2,39
Total Nacional	14 Murcia, Región de		2022M04	2,37
Total Nacional	14 Murcia, Región de		2022M03	2,23
Total Nacional	14 Murcia, Región de		2022M02	1,94
Total Nacional	14 Murcia, Región de		2022M01	1,79
Total Nacional	14 Murcia, Región de		2021M12	1,86
Total Nacional	14 Murcia, Región de		2021M11	1,87
Total Nacional	14 Murcia, Región de		2021M10	2,05
Total Nacional	14 Murcia, Región de		2021M09	2,25
Total Nacional	14 Murcia, Región de		2021M08	2,69
Total Nacional	14 Murcia, Región de		2021M07	2,49
Total Nacional	14 Murcia, Región de		2021M06	1,96
Total Nacional	14 Murcia, Región de		2021M05	1,67
Total Nacional	14 Murcia, Región de		2021M04	1,63
Total Nacional	14 Murcia, Región de		2021M03	1,65
Total Nacional	14 Murcia, Región de		2021M02	1,67
Total Nacional	14 Murcia, Región de		2021M01	1,77
Total Nacional	14 Murcia, Región de		2020M12	1,63
Total Nacional	14 Murcia, Región de		2020M11	1,9
Total Nacional	14 Murcia, Región de		2020M10	1,73
Total Nacional	14 Murcia, Región de		2020M09	2,02
Total Nacional	14 Murcia, Región de		2020M08	2,46
Total Nacional	14 Murcia, Región de		2020M07	2,07
Total Nacional	14 Murcia, Región de		2020M06	1,61
Total Nacional	14 Murcia, Región de		2020M05	2,34
Total Nacional	14 Murcia, Región de		2020M04	0
Total Nacional	14 Murcia, Región de		2020M03	2,32
Total Nacional	14 Murcia, Región de		2020M02	2,06
Total Nacional	14 Murcia, Región de		2020M01	1,91
Total Nacional	14 Murcia, Región de		2019M12	1,76
Total Nacional	14 Murcia, Región de		2019M11	1,99
Total Nacional	14 Murcia, Región de		2019M10	2,24
Total Nacional	14 Murcia, Región de		2019M09	2,72
Total Nacional	14 Murcia, Región de		2019M08	2,91
Total Nacional	14 Murcia, Región de		2019M07	2,72
Total Nacional	14 Murcia, Región de		2019M06	2,34
Total Nacional	14 Murcia, Región de		2019M05	2,46
Total Nacional	14 Murcia, Región de		2019M04	2,46
Total Nacional	14 Murcia, Región de		2019M03	2,47
Total Nacional	14 Murcia, Región de		2019M02	2,17
Total Nacional	14 Murcia, Región de		2019M01	2,12
Total Nacional	14 Murcia, Región de		2018M12	1,89
Total Nacional	14 Murcia, Región de		2018M11	2,17
Total Nacional	14 Murcia, Región de		2018M10	2,37
Total Nacional	14 Murcia, Región de		2018M09	2,67
Total Nacional	14 Murcia, Región de		2018M08	3,04
Total Nacional	14 Murcia, Región de		2018M07	2,86
Total Nacional	14 Murcia, Región de		2018M06	2,44
Total Nacional	14 Murcia, Región de		2018M05	2,44
Total Nacional	14 Murcia, Región de		2018M04	2,56
Total Nacional	14 Murcia, Región de		2018M03	2,5
Total Nacional	14 Murcia, Región de		2018M02	2,26
Total Nacional	14 Murcia, Región de		2018M01	2,08
Total Nacional	14 Murcia, Región de		2017M12	1,89
Total Nacional	14 Murcia, Región de		2017M11	2,08
Total Nacional	14 Murcia, Región de		2017M10	2,38
Total Nacional	14 Murcia, Región de		2017M09	2,62
Total Nacional	14 Murcia, Región de		2017M08	3,02
Total Nacional	14 Murcia, Región de		2017M07	2,72
Total Nacional	14 Murcia, Región de		2017M06	2,36
Total Nacional	14 Murcia, Región de		2017M05	2,4
Total Nacional	14 Murcia, Región de		2017M04	2,45
Total Nacional	14 Murcia, Región de		2017M03	2,42
Total Nacional	14 Murcia, Región de		2017M02	2,13
Total Nacional	14 Murcia, Región de		2017M01	2,04
Total Nacional	14 Murcia, Región de		2016M12	1,92
Total Nacional	14 Murcia, Región de		2016M11	2,09
Total Nacional	14 Murcia, Región de		2016M10	2,48
Total Nacional	14 Murcia, Región de		2016M09	2,63
Total Nacional	14 Murcia, Región de		2016M08	3,06
Total Nacional	14 Murcia, Región de		2016M07	2,87
Total Nacional	14 Murcia, Región de		2016M06	2,46
Total Nacional	14 Murcia, Región de		2016M05	2,49
Total Nacional	14 Murcia, Región de		2016M04	2,5
Total Nacional	14 Murcia, Región de		2016M03	2,54
Total Nacional	14 Murcia, Región de		2016M02	2,15
Total Nacional	14 Murcia, Región de		2016M01	1,97
Total Nacional	14 Murcia, Región de		2015M12	1,99
Total Nacional	14 Murcia, Región de		2015M11	2,07
Total Nacional	14 Murcia, Región de		2015M10	2,37
Total Nacional	14 Murcia, Región de		2015M09	2,66
Total Nacional	14 Murcia, Región de		2015M08	3,1
Total Nacional	14 Murcia, Región de		2015M07	2,83
Total Nacional	14 Murcia, Región de		2015M06	2,51
Total Nacional	14 Murcia, Región de		2015M05	2,46
Total Nacional	14 Murcia, Región de		2015M04	2,55
Total Nacional	14 Murcia, Región de		2015M03	2,62
Total Nacional	14 Murcia, Región de		2015M02	2,14
Total Nacional	14 Murcia, Región de		2015M01	1,98
Total Nacional	14 Murcia, Región de		2014M12	1,85
Total Nacional	14 Murcia, Región de		2014M11	2,06
Total Nacional	14 Murcia, Región de		2014M10	2,42
Total Nacional	14 Murcia, Región de		2014M09	2,67
Total Nacional	14 Murcia, Región de		2014M08	3,08
Total Nacional	14 Murcia, Región de		2014M07	2,97
Total Nacional	14 Murcia, Región de		2014M06	2,64
Total Nacional	14 Murcia, Región de		2014M05	2,34
Total Nacional	14 Murcia, Región de		2014M04	2,49
Total Nacional	14 Murcia, Región de		2014M03	2,48
Total Nacional	14 Murcia, Región de		2014M02	2,1
Total Nacional	14 Murcia, Región de		2014M01	1,9
Total Nacional	14 Murcia, Región de		2013M12	1,78
Total Nacional	14 Murcia, Región de		2013M11	2,06
Total Nacional	14 Murcia, Región de		2013M10	2,31
Total Nacional	14 Murcia, Región de		2013M09	2,64
Total Nacional	14 Murcia, Región de		2013M08	3,16
Total Nacional	14 Murcia, Región de		2013M07	2,94
Total Nacional	14 Murcia, Región de		2013M06	2,51
Total Nacional	14 Murcia, Región de		2013M05	2,53
Total Nacional	14 Murcia, Región de		2013M04	2,47
Total Nacional	14 Murcia, Región de		2013M03	2,56
Total Nacional	14 Murcia, Región de		2013M02	2,23
Total Nacional	14 Murcia, Región de		2013M01	2,02
Total Nacional	14 Murcia, Región de		2012M12	1,92
Total Nacional	14 Murcia, Región de		2012M11	2
Total Nacional	14 Murcia, Región de		2012M10	2,2
Total Nacional	14 Murcia, Región de		2012M09	2,61
Total Nacional	14 Murcia, Región de		2012M08	3,22
Total Nacional	14 Murcia, Región de		2012M07	3,05
Total Nacional	14 Murcia, Región de		2012M06	2,61
Total Nacional	14 Murcia, Región de		2012M05	2,39
Total Nacional	14 Murcia, Región de		2012M04	2,5
Total Nacional	14 Murcia, Región de		2012M03	2,62
Total Nacional	14 Murcia, Región de		2012M02	2,14
Total Nacional	14 Murcia, Región de		2012M01	2,1
Total Nacional	14 Murcia, Región de		2011M12	2,02
Total Nacional	14 Murcia, Región de		2011M11	2,36
Total Nacional	14 Murcia, Región de		2011M10	2,5
Total Nacional	14 Murcia, Región de		2011M09	2,71
Total Nacional	14 Murcia, Región de		2011M08	3,31
Total Nacional	14 Murcia, Región de		2011M07	3,02
Total Nacional	14 Murcia, Región de		2011M06	2,71
Total Nacional	14 Murcia, Región de		2011M05	2,49
Total Nacional	14 Murcia, Región de		2011M04	2,62
Total Nacional	14 Murcia, Región de		2011M03	2,68
Total Nacional	14 Murcia, Región de		2011M02	2,28
Total Nacional	14 Murcia, Región de		2011M01	2,16
Total Nacional	14 Murcia, Región de		2010M12	2,01
Total Nacional	14 Murcia, Región de		2010M11	2,22
Total Nacional	14 Murcia, Región de		2010M10	2,49
Total Nacional	14 Murcia, Región de		2010M09	2,8
Total Nacional	14 Murcia, Región de		2010M08	3,16
Total Nacional	14 Murcia, Región de		2010M07	2,97
Total Nacional	14 Murcia, Región de		2010M06	2,69
Total Nacional	14 Murcia, Región de		2010M05	2,5
Total Nacional	14 Murcia, Región de		2010M04	2,79
Total Nacional	14 Murcia, Región de		2010M03	2,68
Total Nacional	14 Murcia, Región de		2010M02	2,3
Total Nacional	14 Murcia, Región de		2010M01	2,1
Total Nacional	14 Murcia, Región de		2009M12	1,95
Total Nacional	14 Murcia, Región de		2009M11	2,06
Total Nacional	14 Murcia, Región de		2009M10	2,44
Total Nacional	14 Murcia, Región de		2009M09	2,9
Total Nacional	14 Murcia, Región de		2009M08	3,07
Total Nacional	14 Murcia, Región de		2009M07	2,86
Total Nacional	14 Murcia, Región de		2009M06	2,64
Total Nacional	14 Murcia, Región de		2009M05	2,62
Total Nacional	14 Murcia, Región de		2009M04	2,76
Total Nacional	14 Murcia, Región de		2009M03	2,9
Total Nacional	14 Murcia, Región de		2009M02	2,47
Total Nacional	14 Murcia, Región de		2009M01	2,14
Total Nacional	14 Murcia, Región de		2008M12	1,87
Total Nacional	14 Murcia, Región de		2008M11	2,07
Total Nacional	14 Murcia, Región de		2008M10	2,41
Total Nacional	14 Murcia, Región de		2008M09	2,74
Total Nacional	14 Murcia, Región de		2008M08	2,94
Total Nacional	14 Murcia, Región de		2008M07	2,75
Total Nacional	14 Murcia, Región de		2008M06	2,63
Total Nacional	14 Murcia, Región de		2008M05	2,59
Total Nacional	14 Murcia, Región de		2008M04	2,54
Total Nacional	14 Murcia, Región de		2008M03	2,64
Total Nacional	14 Murcia, Región de		2008M02	2,33
Total Nacional	14 Murcia, Región de		2008M01	2,14
Total Nacional	14 Murcia, Región de		2007M12	2,07
Total Nacional	14 Murcia, Región de		2007M11	2,1
Total Nacional	14 Murcia, Región de		2007M10	2,23
Total Nacional	14 Murcia, Región de		2007M09	2,8
Total Nacional	14 Murcia, Región de		2007M08	2,88
Total Nacional	14 Murcia, Región de		2007M07	2,68
Total Nacional	14 Murcia, Región de		2007M06	2,6
Total Nacional	14 Murcia, Región de		2007M05	2,53
Total Nacional	14 Murcia, Región de		2007M04	2,55
Total Nacional	14 Murcia, Región de		2007M03	2,5
Total Nacional	14 Murcia, Región de		2007M02	2,35
Total Nacional	14 Murcia, Región de		2007M01	2,21
Total Nacional	14 Murcia, Región de		2006M12	1,73
Total Nacional	14 Murcia, Región de		2006M11	1,85
Total Nacional	14 Murcia, Región de		2006M10	2,21
Total Nacional	14 Murcia, Región de		2006M09	2,41
Total Nacional	14 Murcia, Región de		2006M08	2,9
Total Nacional	14 Murcia, Región de		2006M07	2,66
Total Nacional	14 Murcia, Región de		2006M06	2,29
Total Nacional	14 Murcia, Región de		2006M05	2,25
Total Nacional	14 Murcia, Región de		2006M04	2,37
Total Nacional	14 Murcia, Región de		2006M03	2,3
Total Nacional	14 Murcia, Región de		2006M02	2,19
Total Nacional	14 Murcia, Región de		2006M01	2,21
Total Nacional	14 Murcia, Región de		2005M12	2,14
Total Nacional	14 Murcia, Región de		2005M11	2,05
Total Nacional	14 Murcia, Región de		2005M10	2,42
Total Nacional	14 Murcia, Región de		2005M09	2,85
Total Nacional	14 Murcia, Región de		2005M08	3,52
Total Nacional	14 Murcia, Región de		2005M07	2,99
Total Nacional	14 Murcia, Región de		2005M06	2,6
Total Nacional	14 Murcia, Región de		2005M05	2,65
Total Nacional	14 Murcia, Región de		2005M04	2,49
Total Nacional	14 Murcia, Región de		2005M03	2,61
Total Nacional	14 Murcia, Región de		2005M02	2,42
Total Nacional	14 Murcia, Región de		2005M01	2,65
Total Nacional	14 Murcia, Región de		2004M12	2,31
Total Nacional	14 Murcia, Región de		2004M11	2,09
Total Nacional	14 Murcia, Región de		2004M10	2,46
Total Nacional	14 Murcia, Región de		2004M09	2,95
Total Nacional	14 Murcia, Región de		2004M08	3,33
Total Nacional	14 Murcia, Región de		2004M07	3,37
Total Nacional	14 Murcia, Región de		2004M06	2,81
Total Nacional	14 Murcia, Región de		2004M05	2,69
Total Nacional	14 Murcia, Región de		2004M04	2,97
Total Nacional	14 Murcia, Región de		2004M03	2,78
Total Nacional	14 Murcia, Región de		2004M02	2,68
Total Nacional	14 Murcia, Región de		2004M01	2,96
Total Nacional	14 Murcia, Región de		2003M12	2,36
Total Nacional	14 Murcia, Región de		2003M11	2,48
Total Nacional	14 Murcia, Región de		2003M10	2,73
Total Nacional	14 Murcia, Región de		2003M09	3,18
Total Nacional	14 Murcia, Región de		2003M08	3,75
Total Nacional	14 Murcia, Región de		2003M07	3,57
Total Nacional	14 Murcia, Región de		2003M06	3,01
Total Nacional	14 Murcia, Región de		2003M05	2,79
Total Nacional	14 Murcia, Región de		2003M04	2,91
Total Nacional	14 Murcia, Región de		2003M03	3
Total Nacional	14 Murcia, Región de		2003M02	2,88
Total Nacional	14 Murcia, Región de		2003M01	3,02
Total Nacional	14 Murcia, Región de		2002M12	2,6
Total Nacional	14 Murcia, Región de		2002M11	2,72
Total Nacional	14 Murcia, Región de		2002M10	2,56
Total Nacional	14 Murcia, Región de		2002M09	3,27
Total Nacional	14 Murcia, Región de		2002M08	3,77
Total Nacional	14 Murcia, Región de		2002M07	3,65
Total Nacional	14 Murcia, Región de		2002M06	3,01
Total Nacional	14 Murcia, Región de		2002M05	2,87
Total Nacional	14 Murcia, Región de		2002M04	2,81
Total Nacional	14 Murcia, Región de		2002M03	3,17
Total Nacional	14 Murcia, Región de		2002M02	2,86
Total Nacional	14 Murcia, Región de		2002M01	2,61
Total Nacional	14 Murcia, Región de		2001M12	2,2
Total Nacional	14 Murcia, Región de		2001M11	2,53
Total Nacional	14 Murcia, Región de		2001M10	2,6
Total Nacional	14 Murcia, Región de		2001M09	3,34
Total Nacional	14 Murcia, Región de		2001M08	3,95
Total Nacional	14 Murcia, Región de		2001M07	3,9
Total Nacional	14 Murcia, Región de		2001M06	3
Total Nacional	14 Murcia, Región de		2001M05	2,87
Total Nacional	14 Murcia, Región de		2001M04	3,33
Total Nacional	14 Murcia, Región de		2001M03	3,03
Total Nacional	14 Murcia, Región de		2001M02	3,03
Total Nacional	14 Murcia, Región de		2001M01	2,66
Total Nacional	14 Murcia, Región de		2000M12	2
Total Nacional	14 Murcia, Región de		2000M11	2,6
Total Nacional	14 Murcia, Región de		2000M10	2,9
Total Nacional	14 Murcia, Región de		2000M09	3,5
Total Nacional	14 Murcia, Región de		2000M08	3,9
Total Nacional	14 Murcia, Región de		2000M07	3,7
Total Nacional	14 Murcia, Región de		2000M06	3,6
Total Nacional	14 Murcia, Región de		2000M05	2,9
Total Nacional	14 Murcia, Región de		2000M04	3,1
Total Nacional	14 Murcia, Región de		2000M03	3,2
Total Nacional	14 Murcia, Región de		2000M02	3,1
Total Nacional	14 Murcia, Región de		2000M01	2,6
Total Nacional	14 Murcia, Región de		1999M12	2,2
Total Nacional	14 Murcia, Región de		1999M11	2,3
Total Nacional	14 Murcia, Región de		1999M10	3
Total Nacional	14 Murcia, Región de		1999M09	3,6
Total Nacional	14 Murcia, Región de		1999M08	4,1
Total Nacional	14 Murcia, Región de		1999M07	4
Total Nacional	14 Murcia, Región de		1999M06	3,8
Total Nacional	14 Murcia, Región de		1999M05	3
Total Nacional	14 Murcia, Región de		1999M04	3,4
Total Nacional	14 Murcia, Región de		1999M03	3,2
Total Nacional	14 Murcia, Región de		1999M02	3
Total Nacional	14 Murcia, Región de		1999M01	3,1
Total Nacional	15 Navarra, Comunidad Foral de		2025M03	1,99
Total Nacional	15 Navarra, Comunidad Foral de		2025M02	1,83
Total Nacional	15 Navarra, Comunidad Foral de		2025M01	1,76
Total Nacional	15 Navarra, Comunidad Foral de		2024M12	1,81
Total Nacional	15 Navarra, Comunidad Foral de		2024M11	2,04
Total Nacional	15 Navarra, Comunidad Foral de		2024M10	1,91
Total Nacional	15 Navarra, Comunidad Foral de		2024M09	1,8
Total Nacional	15 Navarra, Comunidad Foral de		2024M08	2,09
Total Nacional	15 Navarra, Comunidad Foral de		2024M07	1,96
Total Nacional	15 Navarra, Comunidad Foral de		2024M06	1,83
Total Nacional	15 Navarra, Comunidad Foral de		2024M05	1,78
Total Nacional	15 Navarra, Comunidad Foral de		2024M04	1,81
Total Nacional	15 Navarra, Comunidad Foral de		2024M03	1,88
Total Nacional	15 Navarra, Comunidad Foral de		2024M02	1,72
Total Nacional	15 Navarra, Comunidad Foral de		2024M01	1,7
Total Nacional	15 Navarra, Comunidad Foral de		2023M12	1,66
Total Nacional	15 Navarra, Comunidad Foral de		2023M11	2
Total Nacional	15 Navarra, Comunidad Foral de		2023M10	1,94
Total Nacional	15 Navarra, Comunidad Foral de		2023M09	1,79
Total Nacional	15 Navarra, Comunidad Foral de		2023M08	1,91
Total Nacional	15 Navarra, Comunidad Foral de		2023M07	1,88
Total Nacional	15 Navarra, Comunidad Foral de		2023M06	1,81
Total Nacional	15 Navarra, Comunidad Foral de		2023M05	1,74
Total Nacional	15 Navarra, Comunidad Foral de		2023M04	1,83
Total Nacional	15 Navarra, Comunidad Foral de		2023M03	1,84
Total Nacional	15 Navarra, Comunidad Foral de		2023M02	1,76
Total Nacional	15 Navarra, Comunidad Foral de		2023M01	1,72
Total Nacional	15 Navarra, Comunidad Foral de		2022M12	1,7
Total Nacional	15 Navarra, Comunidad Foral de		2022M11	1,91
Total Nacional	15 Navarra, Comunidad Foral de		2022M10	1,91
Total Nacional	15 Navarra, Comunidad Foral de		2022M09	1,77
Total Nacional	15 Navarra, Comunidad Foral de		2022M08	1,88
Total Nacional	15 Navarra, Comunidad Foral de		2022M07	1,84
Total Nacional	15 Navarra, Comunidad Foral de		2022M06	1,77
Total Nacional	15 Navarra, Comunidad Foral de		2022M05	1,79
Total Nacional	15 Navarra, Comunidad Foral de		2022M04	1,78
Total Nacional	15 Navarra, Comunidad Foral de		2022M03	1,9
Total Nacional	15 Navarra, Comunidad Foral de		2022M02	1,73
Total Nacional	15 Navarra, Comunidad Foral de		2022M01	1,81
Total Nacional	15 Navarra, Comunidad Foral de		2021M12	1,9
Total Nacional	15 Navarra, Comunidad Foral de		2021M11	1,84
Total Nacional	15 Navarra, Comunidad Foral de		2021M10	1,83
Total Nacional	15 Navarra, Comunidad Foral de		2021M09	1,8
Total Nacional	15 Navarra, Comunidad Foral de		2021M08	2,03
Total Nacional	15 Navarra, Comunidad Foral de		2021M07	1,83
Total Nacional	15 Navarra, Comunidad Foral de		2021M06	1,81
Total Nacional	15 Navarra, Comunidad Foral de		2021M05	1,83
Total Nacional	15 Navarra, Comunidad Foral de		2021M04	1,83
Total Nacional	15 Navarra, Comunidad Foral de		2021M03	1,85
Total Nacional	15 Navarra, Comunidad Foral de		2021M02	1,85
Total Nacional	15 Navarra, Comunidad Foral de		2021M01	1,9
Total Nacional	15 Navarra, Comunidad Foral de		2020M12	1,76
Total Nacional	15 Navarra, Comunidad Foral de		2020M11	2,03
Total Nacional	15 Navarra, Comunidad Foral de		2020M10	1,85
Total Nacional	15 Navarra, Comunidad Foral de		2020M09	1,76
Total Nacional	15 Navarra, Comunidad Foral de		2020M08	1,92
Total Nacional	15 Navarra, Comunidad Foral de		2020M07	1,83
Total Nacional	15 Navarra, Comunidad Foral de		2020M06	1,81
Total Nacional	15 Navarra, Comunidad Foral de		2020M05	2,65
Total Nacional	15 Navarra, Comunidad Foral de		2020M04	0
Total Nacional	15 Navarra, Comunidad Foral de		2020M03	1,95
Total Nacional	15 Navarra, Comunidad Foral de		2020M02	1,73
Total Nacional	15 Navarra, Comunidad Foral de		2020M01	1,8
Total Nacional	15 Navarra, Comunidad Foral de		2019M12	1,8
Total Nacional	15 Navarra, Comunidad Foral de		2019M11	1,95
Total Nacional	15 Navarra, Comunidad Foral de		2019M10	1,87
Total Nacional	15 Navarra, Comunidad Foral de		2019M09	1,79
Total Nacional	15 Navarra, Comunidad Foral de		2019M08	1,91
Total Nacional	15 Navarra, Comunidad Foral de		2019M07	1,9
Total Nacional	15 Navarra, Comunidad Foral de		2019M06	1,89
Total Nacional	15 Navarra, Comunidad Foral de		2019M05	1,82
Total Nacional	15 Navarra, Comunidad Foral de		2019M04	1,83
Total Nacional	15 Navarra, Comunidad Foral de		2019M03	2,05
Total Nacional	15 Navarra, Comunidad Foral de		2019M02	1,79
Total Nacional	15 Navarra, Comunidad Foral de		2019M01	1,84
Total Nacional	15 Navarra, Comunidad Foral de		2018M12	1,82
Total Nacional	15 Navarra, Comunidad Foral de		2018M11	2,02
Total Nacional	15 Navarra, Comunidad Foral de		2018M10	1,95
Total Nacional	15 Navarra, Comunidad Foral de		2018M09	1,82
Total Nacional	15 Navarra, Comunidad Foral de		2018M08	1,91
Total Nacional	15 Navarra, Comunidad Foral de		2018M07	1,9
Total Nacional	15 Navarra, Comunidad Foral de		2018M06	1,81
Total Nacional	15 Navarra, Comunidad Foral de		2018M05	1,78
Total Nacional	15 Navarra, Comunidad Foral de		2018M04	1,86
Total Nacional	15 Navarra, Comunidad Foral de		2018M03	1,98
Total Nacional	15 Navarra, Comunidad Foral de		2018M02	1,78
Total Nacional	15 Navarra, Comunidad Foral de		2018M01	1,87
Total Nacional	15 Navarra, Comunidad Foral de		2017M12	1,84
Total Nacional	15 Navarra, Comunidad Foral de		2017M11	1,94
Total Nacional	15 Navarra, Comunidad Foral de		2017M10	1,94
Total Nacional	15 Navarra, Comunidad Foral de		2017M09	1,8
Total Nacional	15 Navarra, Comunidad Foral de		2017M08	2
