RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;;Pernoctaciones;2025M03;22.344.694
Total;;Pernoctaciones;2025M02;18.412.444
Total;;Pernoctaciones;2025M01;16.910.798
Total;;Pernoctaciones;2024M12;18.033.188
Total;;Pernoctaciones;2024M11;20.055.197
Total;;Pernoctaciones;2024M10;33.942.709
Total;;Pernoctaciones;2024M09;39.040.928
Total;;Pernoctaciones;2024M08;47.895.779
Total;;Pernoctaciones;2024M07;44.038.012
Total;;Pernoctaciones;2024M06;38.226.012
Total;;Pernoctaciones;2024M05;35.744.250
Total;;Pernoctaciones;2024M04;27.099.375
Total;;Pernoctaciones;2024M03;24.520.234
Total;;Pernoctaciones;2024M02;18.581.766
Total;;Pernoctaciones;2024M01;16.491.597
Total;;Pernoctaciones;2023M12;17.913.857
Total;;Pernoctaciones;2023M11;19.023.828
Total;;Pernoctaciones;2023M10;32.415.687
Total;;Pernoctaciones;2023M09;37.980.229
Total;;Pernoctaciones;2023M08;46.695.607
Total;;Pernoctaciones;2023M07;43.109.417
Total;;Pernoctaciones;2023M06;36.255.025
Total;;Pernoctaciones;2023M05;32.187.667
Total;;Pernoctaciones;2023M04;28.046.754
Total;;Pernoctaciones;2023M03;20.597.741
Total;;Pernoctaciones;2023M02;16.816.547
Total;;Pernoctaciones;2023M01;15.472.477
Total;;Pernoctaciones;2022M12;16.627.833
Total;;Pernoctaciones;2022M11;17.661.676
Total;;Pernoctaciones;2022M10;29.865.924
Total;;Pernoctaciones;2022M09;35.999.861
Total;;Pernoctaciones;2022M08;46.140.100
Total;;Pernoctaciones;2022M07;42.121.775
Total;;Pernoctaciones;2022M06;35.111.326
Total;;Pernoctaciones;2022M05;29.785.395
Total;;Pernoctaciones;2022M04;25.197.638
Total;;Pernoctaciones;2022M03;17.632.648
Total;;Pernoctaciones;2022M02;13.623.546
Total;;Pernoctaciones;2022M01;10.598.385
Total;;Pernoctaciones;2021M12;13.220.155
Total;;Pernoctaciones;2021M11;14.930.647
Total;;Pernoctaciones;2021M10;23.935.219
Total;;Pernoctaciones;2021M09;25.679.512
Total;;Pernoctaciones;2021M08;34.460.041
Total;;Pernoctaciones;2021M07;26.351.353
Total;;Pernoctaciones;2021M06;14.259.621
Total;;Pernoctaciones;2021M05;7.342.738
Total;;Pernoctaciones;2021M04;4.142.415
Total;;Pernoctaciones;2021M03;3.588.559
Total;;Pernoctaciones;2021M02;2.436.961
Total;;Pernoctaciones;2021M01;2.459.473
Total;;Pernoctaciones;2020M12;3.245.991
Total;;Pernoctaciones;2020M11;2.874.269
Total;;Pernoctaciones;2020M10;5.128.825
Total;;Pernoctaciones;2020M09;8.219.094
Total;;Pernoctaciones;2020M08;16.927.211
Total;;Pernoctaciones;2020M07;11.731.245
Total;;Pernoctaciones;2020M06;1.870.057
Total;;Pernoctaciones;2020M05;271.149
Total;;Pernoctaciones;2020M04;0
Total;;Pernoctaciones;2020M03;8.372.820
Total;;Pernoctaciones;2020M02;17.614.206
Total;;Pernoctaciones;2020M01;15.968.171
Total;;Pernoctaciones;2019M12;16.966.744
Total;;Pernoctaciones;2019M11;18.339.394
Total;;Pernoctaciones;2019M10;30.363.238
Total;;Pernoctaciones;2019M09;37.572.668
Total;;Pernoctaciones;2019M08;47.059.511
Total;;Pernoctaciones;2019M07;43.199.530
Total;;Pernoctaciones;2019M06;37.163.185
Total;;Pernoctaciones;2019M05;31.905.788
Total;;Pernoctaciones;2019M04;26.808.982
Total;;Pernoctaciones;2019M03;21.520.914
Total;;Pernoctaciones;2019M02;16.589.486
Total;;Pernoctaciones;2019M01;15.506.154
Total;;Pernoctaciones;2018M12;16.655.848
Total;;Pernoctaciones;2018M11;18.261.076
Total;;Pernoctaciones;2018M10;31.132.356
Total;;Pernoctaciones;2018M09;37.768.667
Total;;Pernoctaciones;2018M08;46.306.240
Total;;Pernoctaciones;2018M07;42.717.096
Total;;Pernoctaciones;2018M06;36.168.465
Total;;Pernoctaciones;2018M05;31.921.157
Total;;Pernoctaciones;2018M04;25.207.350
Total;;Pernoctaciones;2018M03;21.918.931
Total;;Pernoctaciones;2018M02;16.527.859
Total;;Pernoctaciones;2018M01;15.395.882
Total;;Pernoctaciones;2017M12;16.211.799
Total;;Pernoctaciones;2017M11;17.537.436
Total;;Pernoctaciones;2017M10;30.898.617
Total;;Pernoctaciones;2017M09;37.961.599
Total;;Pernoctaciones;2017M08;46.657.187
Total;;Pernoctaciones;2017M07;43.624.461
Total;;Pernoctaciones;2017M06;36.646.402
Total;;Pernoctaciones;2017M05;31.439.920
Total;;Pernoctaciones;2017M04;27.549.426
Total;;Pernoctaciones;2017M03;20.508.641
Total;;Pernoctaciones;2017M02;16.346.534
Total;;Pernoctaciones;2017M01;15.200.690
Total;;Pernoctaciones;2016M12;16.013.165
Total;;Pernoctaciones;2016M11;17.134.705
Total;;Pernoctaciones;2016M10;30.587.997
Total;;Pernoctaciones;2016M09;37.218.422
Total;;Pernoctaciones;2016M08;46.502.956
Total;;Pernoctaciones;2016M07;42.948.946
Total;;Pernoctaciones;2016M06;34.430.872
Total;;Pernoctaciones;2016M05;30.401.275
Total;;Pernoctaciones;2016M04;23.056.973
Total;;Pernoctaciones;2016M03;22.022.933
Total;;Pernoctaciones;2016M02;16.379.849
Total;;Pernoctaciones;2016M01;14.470.851
Total;;Pernoctaciones;2015M12;15.043.365
Total;;Pernoctaciones;2015M11;15.862.738
Total;;Pernoctaciones;2015M10;28.073.790
Total;;Pernoctaciones;2015M09;34.918.861
Total;;Pernoctaciones;2015M08;44.813.404
Total;;Pernoctaciones;2015M07;39.850.064
Total;;Pernoctaciones;2015M06;32.092.513
Total;;Pernoctaciones;2015M05;28.041.622
Total;;Pernoctaciones;2015M04;23.087.381
Total;;Pernoctaciones;2015M03;18.596.568
Total;;Pernoctaciones;2015M02;14.513.335
Total;;Pernoctaciones;2015M01;13.342.087
Total;;Pernoctaciones;2014M12;14.041.916
Total;;Pernoctaciones;2014M11;15.113.125
Total;;Pernoctaciones;2014M10;26.243.441
Total;;Pernoctaciones;2014M09;33.858.937
Total;;Pernoctaciones;2014M08;42.991.384
Total;;Pernoctaciones;2014M07;37.641.540
Total;;Pernoctaciones;2014M06;31.567.799
Total;;Pernoctaciones;2014M05;26.691.702
Total;;Pernoctaciones;2014M04;22.298.622
Total;;Pernoctaciones;2014M03;18.129.451
Total;;Pernoctaciones;2014M02;13.875.208
Total;;Pernoctaciones;2014M01;12.807.505
Total;;Pernoctaciones;2013M12;13.595.795
Total;;Pernoctaciones;2013M11;15.087.587
Total;;Pernoctaciones;2013M10;25.015.770
Total;;Pernoctaciones;2013M09;32.647.844
Total;;Pernoctaciones;2013M08;41.900.828
Total;;Pernoctaciones;2013M07;37.670.863
Total;;Pernoctaciones;2013M06;30.808.604
Total;;Pernoctaciones;2013M05;26.359.256
Total;;Pernoctaciones;2013M04;19.135.958
Total;;Pernoctaciones;2013M03;18.815.829
Total;;Pernoctaciones;2013M02;13.104.722
Total;;Pernoctaciones;2013M01;11.887.105
Total;;Pernoctaciones;2012M12;12.398.564
Total;;Pernoctaciones;2012M11;13.854.509
Total;;Pernoctaciones;2012M10;23.909.187
Total;;Pernoctaciones;2012M09;32.045.387
