RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;África;Pernoctaciones;2012M06;95.481
Total;África;Pernoctaciones;2012M05;71.024
Total;África;Pernoctaciones;2012M04;79.200
Total;África;Pernoctaciones;2012M03;61.490
Total;África;Pernoctaciones;2012M02;58.419
Total;África;Pernoctaciones;2012M01;61.355
Total;África;Pernoctaciones;2011M12;57.782
Total;África;Pernoctaciones;2011M11;62.112
Total;África;Pernoctaciones;2011M10;72.373
Total;África;Pernoctaciones;2011M09;99.216
Total;África;Pernoctaciones;2011M08;72.908
Total;África;Pernoctaciones;2011M07;162.305
Total;África;Pernoctaciones;2011M06;79.576
Total;África;Pernoctaciones;2011M05;64.460
Total;África;Pernoctaciones;2011M04;79.947
Total;África;Pernoctaciones;2011M03;58.659
Total;África;Pernoctaciones;2011M02;55.093
Total;África;Pernoctaciones;2011M01;66.159
Total;África;Pernoctaciones;2010M12;54.991
Total;África;Pernoctaciones;2010M11;60.634
Total;África;Pernoctaciones;2010M10;72.684
Total;África;Pernoctaciones;2010M09;69.348
Total;África;Pernoctaciones;2010M08;97.443
Total;África;Pernoctaciones;2010M07;220.153
Total;África;Pernoctaciones;2010M06;79.078
Total;África;Pernoctaciones;2010M05;72.483
Total;África;Pernoctaciones;2010M04;63.467
Total;África;Pernoctaciones;2010M03;52.812
Total;África;Pernoctaciones;2010M02;56.296
Total;África;Pernoctaciones;2010M01;49.717
Total;África;Pernoctaciones;2009M12;47.122
Total;África;Pernoctaciones;2009M11;53.844
Total;África;Pernoctaciones;2009M10;61.178
Total;África;Pernoctaciones;2009M09;55.475
Total;África;Pernoctaciones;2009M08;98.689
Total;África;Pernoctaciones;2009M07;96.492
Total;África;Pernoctaciones;2009M06;60.148
Total;África;Pernoctaciones;2009M05;55.258
Total;África;Pernoctaciones;2009M04;54.573
Total;África;Pernoctaciones;2009M03;52.515
Total;África;Pernoctaciones;2009M02;46.685
Total;África;Pernoctaciones;2009M01;51.441
Total;África;Pernoctaciones;2008M12;44.858
Total;África;Pernoctaciones;2008M11;56.282
Total;África;Pernoctaciones;2008M10;63.393
Total;África;Pernoctaciones;2008M09;50.122
Total;África;Pernoctaciones;2008M08;119.520
Total;África;Pernoctaciones;2008M07;95.815
Total;África;Pernoctaciones;2008M06;65.158
Total;África;Pernoctaciones;2008M05;58.968
Total;África;Pernoctaciones;2008M04;54.262
Total;África;Pernoctaciones;2008M03;55.255
Total;África;Pernoctaciones;2008M02;57.192
Total;África;Pernoctaciones;2008M01;51.778
Total;África;Pernoctaciones;2007M12;53.209
Total;África;Pernoctaciones;2007M11;54.817
Total;África;Pernoctaciones;2007M10;60.902
Total;África;Pernoctaciones;2007M09;72.507
Total;África;Pernoctaciones;2007M08;112.261
Total;África;Pernoctaciones;2007M07;86.368
Total;África;Pernoctaciones;2007M06;64.505
Total;África;Pernoctaciones;2007M05;59.527
Total;África;Pernoctaciones;2007M04;57.046
Total;África;Pernoctaciones;2007M03;56.238
Total;África;Pernoctaciones;2007M02;53.560
Total;África;Pernoctaciones;2007M01;53.710
Total;África;Pernoctaciones;2006M12;54.268
Total;África;Pernoctaciones;2006M11;55.613
Total;África;Pernoctaciones;2006M10;369.132
Total;África;Pernoctaciones;2006M09;71.742
Total;África;Pernoctaciones;2006M08;97.775
Total;África;Pernoctaciones;2006M07;81.902
Total;África;Pernoctaciones;2006M06;66.502
Total;África;Pernoctaciones;2006M05;64.918
Total;África;Pernoctaciones;2006M04;54.407
Total;África;Pernoctaciones;2006M03;55.714
Total;África;Pernoctaciones;2006M02;44.731
Total;África;Pernoctaciones;2006M01;54.836
Total;África;Pernoctaciones;2005M12;56.516
Total;África;Pernoctaciones;2005M11;56.738
Total;África;Pernoctaciones;2005M10;47.856
Total;África;Pernoctaciones;2005M09;72.637
Total;África;Pernoctaciones;2005M08;96.769
Total;África;Pernoctaciones;2005M07;79.708
Total;África;Pernoctaciones;2005M06;56.960
Total;África;Pernoctaciones;2005M05;55.214
Total;África;Pernoctaciones;2005M04;58.096
Total;África;Pernoctaciones;2005M03;51.208
Total;África;Pernoctaciones;2005M02;49.016
Total;África;Pernoctaciones;2005M01;64.696
Total;África;Pernoctaciones;2004M12;37.994
Total;África;Pernoctaciones;2004M11;37.800
Total;África;Pernoctaciones;2004M10;56.851
Total;África;Pernoctaciones;2004M09;64.067
Total;África;Pernoctaciones;2004M08;80.847
Total;África;Pernoctaciones;2004M07;68.181
Total;África;Pernoctaciones;2004M06;56.443
Total;África;Pernoctaciones;2004M05;52.074
Total;África;Pernoctaciones;2004M04;38.347
Total;África;Pernoctaciones;2004M03;40.996
Total;África;Pernoctaciones;2004M02;38.219
Total;África;Pernoctaciones;2004M01;38.085
Total;África;Pernoctaciones;2003M12;43.297
Total;África;Pernoctaciones;2003M11;41.979
Total;África;Pernoctaciones;2003M10;60.486
Total;África;Pernoctaciones;2003M09;63.765
Total;África;Pernoctaciones;2003M08;87.096
Total;África;Pernoctaciones;2003M07;75.594
Total;África;Pernoctaciones;2003M06;64.463
Total;África;Pernoctaciones;2003M05;55.291
Total;África;Pernoctaciones;2003M04;48.475
Total;África;Pernoctaciones;2003M03;52.019
Total;África;Pernoctaciones;2003M02;45.123
Total;África;Pernoctaciones;2003M01;56.739
Total;África;Pernoctaciones;2002M12;40.581
Total;África;Pernoctaciones;2002M11;38.068
Total;África;Pernoctaciones;2002M10;52.494
Total;África;Pernoctaciones;2002M09;75.647
Total;África;Pernoctaciones;2002M08;94.739
Total;África;Pernoctaciones;2002M07;83.827
Total;África;Pernoctaciones;2002M06;66.958
Total;África;Pernoctaciones;2002M05;58.158
Total;África;Pernoctaciones;2002M04;60.673
Total;África;Pernoctaciones;2002M03;55.959
Total;África;Pernoctaciones;2002M02;48.673
Total;África;Pernoctaciones;2002M01;46.908
Total;África;Pernoctaciones;2001M12;50.754
Total;África;Pernoctaciones;2001M11;56.604
Total;África;Pernoctaciones;2001M10;65.592
Total;África;Pernoctaciones;2001M09;78.241
Total;África;Pernoctaciones;2001M08;101.002
Total;África;Pernoctaciones;2001M07;90.302
Total;África;Pernoctaciones;2001M06;63.720
Total;África;Pernoctaciones;2001M05;58.070
Total;África;Pernoctaciones;2001M04;52.210
Total;África;Pernoctaciones;2001M03;47.603
Total;África;Pernoctaciones;2001M02;47.428
Total;África;Pernoctaciones;2001M01;49.632
Total;África;Pernoctaciones;2000M12;43.324
Total;África;Pernoctaciones;2000M11;50.523
Total;África;Pernoctaciones;2000M10;60.688
Total;África;Pernoctaciones;2000M09;59.202
Total;África;Pernoctaciones;2000M08;73.546
Total;África;Pernoctaciones;2000M07;59.440
Total;África;Pernoctaciones;2000M06;42.548
Total;África;Pernoctaciones;2000M05;44.423
Total;África;Pernoctaciones;2000M04;41.001
Total;África;Pernoctaciones;2000M03;41.305
Total;África;Pernoctaciones;2000M02;32.854
Total;África;Pernoctaciones;2000M01;37.949
Total;África;Pernoctaciones;1999M12;31.541
Total;África;Pernoctaciones;1999M11;34.028
Total;África;Pernoctaciones;1999M10;42.945
Total;África;Pernoctaciones;1999M09;49.654
Total;África;Pernoctaciones;1999M08;71.771
Total;África;Pernoctaciones;1999M07;62.795
Total;África;Pernoctaciones;1999M06;41.873
Total;África;Pernoctaciones;1999M05;35.644
Total;África;Pernoctaciones;1999M04;34.454
Total;África;Pernoctaciones;1999M03;33.532
Total;África;Pernoctaciones;1999M02;27.219
Total;África;Pernoctaciones;1999M01;26.685
Total;UE28 sin España;Viajero;2025M04;3.804.407
Total;UE28 sin España;Viajero;2025M03;2.651.856
Total;UE28 sin España;Viajero;2025M02;2.152.684
Total;UE28 sin España;Viajero;2025M01;1.831.542
Total;UE28 sin España;Viajero;2024M12;1.887.167
Total;UE28 sin España;Viajero;2024M11;2.170.713
Total;UE28 sin España;Viajero;2024M10;4.279.419
Total;UE28 sin España;Viajero;2024M09;4.768.822
Total;UE28 sin España;Viajero;2024M08;5.462.074
Total;UE28 sin España;Viajero;2024M07;4.924.176
Total;UE28 sin España;Viajero;2024M06;4.562.405
Total;UE28 sin España;Viajero;2024M05;4.858.827
Total;UE28 sin España;Viajero;2024M04;3.635.880
Total;UE28 sin España;Viajero;2024M03;2.752.827
Total;UE28 sin España;Viajero;2024M02;2.096.462
Total;UE28 sin España;Viajero;2024M01;1.792.026
Total;UE28 sin España;Viajero;2023M12;1.868.826
Total;UE28 sin España;Viajero;2023M11;2.094.452
Total;UE28 sin España;Viajero;2023M10;4.015.396
Total;UE28 sin España;Viajero;2023M09;4.647.646
Total;UE28 sin España;Viajero;2023M08;5.257.323
Total;UE28 sin España;Viajero;2023M07;4.793.411
Total;UE28 sin España;Viajero;2023M06;4.315.582
Total;UE28 sin España;Viajero;2023M05;4.333.018
Total;UE28 sin España;Viajero;2023M04;3.468.023
Total;UE28 sin España;Viajero;2023M03;2.315.549
Total;UE28 sin España;Viajero;2023M02;1.857.190
Total;UE28 sin España;Viajero;2023M01;1.601.974
Total;UE28 sin España;Viajero;2022M12;1.664.772
Total;UE28 sin España;Viajero;2022M11;1.845.085
Total;UE28 sin España;Viajero;2022M10;3.628.462
Total;UE28 sin España;Viajero;2022M09;4.333.707
Total;UE28 sin España;Viajero;2022M08;5.020.252
Total;UE28 sin España;Viajero;2022M07;4.598.843
Total;UE28 sin España;Viajero;2022M06;4.141.074
Total;UE28 sin España;Viajero;2022M05;3.960.229
Total;UE28 sin España;Viajero;2022M04;3.000.215
Total;UE28 sin España;Viajero;2022M03;1.925.680
Total;UE28 sin España;Viajero;2022M02;1.490.629
Total;UE28 sin España;Viajero;2022M01;1.006.483
Total;UE28 sin España;Viajero;2021M12;1.188.446
Total;UE28 sin España;Viajero;2021M11;1.597.380
Total;UE28 sin España;Viajero;2021M10;2.765.272
Total;UE28 sin España;Viajero;2021M09;2.603.461
Total;UE28 sin España;Viajero;2021M08;2.838.575
Total;UE28 sin España;Viajero;2021M07;2.172.898
Total;UE28 sin España;Viajero;2021M06;1.183.912
Total;UE28 sin España;Viajero;2021M05;637.966
Total;UE28 sin España;Viajero;2021M04;283.137
Total;UE28 sin España;Viajero;2021M03;217.114
Total;UE28 sin España;Viajero;2021M02;137.034
Total;UE28 sin España;Viajero;2021M01;155.613
Total;UE28 sin España;Viajero;2020M12;230.936
Total;UE28 sin España;Viajero;2020M11;190.109
Total;UE28 sin España;Viajero;2020M10;379.023
Total;UE28 sin España;Viajero;2020M09;463.693
Total;UE28 sin España;Viajero;2020M08;1.055.766
Total;UE28 sin España;Viajero;2020M07;954.473
Total;UE28 sin España;Viajero;2020M06;.
Total;UE28 sin España;Viajero;2020M05;.
Total;UE28 sin España;Viajero;2020M04;0
Total;UE28 sin España;Viajero;2020M03;837.973
Total;UE28 sin España;Viajero;2020M02;1.910.767
Total;UE28 sin España;Viajero;2020M01;1.601.233
Total;UE28 sin España;Viajero;2019M12;1.649.291
Total;UE28 sin España;Viajero;2019M11;1.905.170
Total;UE28 sin España;Viajero;2019M10;3.675.468
Total;UE28 sin España;Viajero;2019M09;4.343.256
Total;UE28 sin España;Viajero;2019M08;4.858.794
Total;UE28 sin España;Viajero;2019M07;4.450.685
Total;UE28 sin España;Viajero;2019M06;4.268.712
Total;UE28 sin España;Viajero;2019M05;4.162.482
Total;UE28 sin España;Viajero;2019M04;3.236.262
Total;UE28 sin España;Viajero;2019M03;2.343.537
Total;UE28 sin España;Viajero;2019M02;1.788.662
Total;UE28 sin España;Viajero;2019M01;1.580.001
Total;UE28 sin España;Viajero;2018M12;1.655.131
Total;UE28 sin España;Viajero;2018M11;1.872.802
Total;UE28 sin España;Viajero;2018M10;3.713.389
Total;UE28 sin España;Viajero;2018M09;4.409.316
Total;UE28 sin España;Viajero;2018M08;4.753.287
Total;UE28 sin España;Viajero;2018M07;4.467.277
Total;UE28 sin España;Viajero;2018M06;4.214.501
Total;UE28 sin España;Viajero;2018M05;4.181.482
Total;UE28 sin España;Viajero;2018M04;3.060.931
Total;UE28 sin España;Viajero;2018M03;2.324.100
Total;UE28 sin España;Viajero;2018M02;1.754.774
Total;UE28 sin España;Viajero;2018M01;1.567.317
Total;UE28 sin España;Viajero;2017M12;1.550.571
Total;UE28 sin España;Viajero;2017M11;1.809.045
Total;UE28 sin España;Viajero;2017M10;3.620.726
Total;UE28 sin España;Viajero;2017M09;4.445.046
Total;UE28 sin España;Viajero;2017M08;4.816.972
Total;UE28 sin España;Viajero;2017M07;4.675.106
Total;UE28 sin España;Viajero;2017M06;4.192.434
Total;UE28 sin España;Viajero;2017M05;4.068.291
Total;UE28 sin España;Viajero;2017M04;3.200.863
Total;UE28 sin España;Viajero;2017M03;2.193.537
Total;UE28 sin España;Viajero;2017M02;1.721.714
Total;UE28 sin España;Viajero;2017M01;1.499.829
Total;UE28 sin España;Viajero;2016M12;1.528.716
Total;UE28 sin España;Viajero;2016M11;1.760.436
Total;UE28 sin España;Viajero;2016M10;3.543.642
Total;UE28 sin España;Viajero;2016M09;4.277.088
Total;UE28 sin España;Viajero;2016M08;4.846.540
Total;UE28 sin España;Viajero;2016M07;4.495.058
Total;UE28 sin España;Viajero;2016M06;4.022.068
Total;UE28 sin España;Viajero;2016M05;3.961.351
Total;UE28 sin España;Viajero;2016M04;2.906.670
Total;UE28 sin España;Viajero;2016M03;2.198.600
Total;UE28 sin España;Viajero;2016M02;1.648.283
Total;UE28 sin España;Viajero;2016M01;1.385.142
Total;UE28 sin España;Viajero;2015M12;1.428.058
Total;UE28 sin España;Viajero;2015M11;1.656.769
Total;UE28 sin España;Viajero;2015M10;3.249.792
Total;UE28 sin España;Viajero;2015M09;3.860.620
Total;UE28 sin España;Viajero;2015M08;4.494.797
Total;UE28 sin España;Viajero;2015M07;3.994.484
Total;UE28 sin España;Viajero;2015M06;3.539.862
Total;UE28 sin España;Viajero;2015M05;3.701.141
Total;UE28 sin España;Viajero;2015M04;2.639.297
Total;UE28 sin España;Viajero;2015M03;1.871.527
Total;UE28 sin España;Viajero;2015M02;1.435.831
Total;UE28 sin España;Viajero;2015M01;1.237.925
Total;UE28 sin España;Viajero;2014M12;1.334.131
Total;UE28 sin España;Viajero;2014M11;1.515.074
Total;UE28 sin España;Viajero;2014M10;3.012.600
Total;UE28 sin España;Viajero;2014M09;3.682.071
Total;UE28 sin España;Viajero;2014M08;4.258.153
Total;UE28 sin España;Viajero;2014M07;3.675.038
Total;UE28 sin España;Viajero;2014M06;3.430.155
Total;UE28 sin España;Viajero;2014M05;3.406.206
Total;UE28 sin España;Viajero;2014M04;2.508.210
Total;UE28 sin España;Viajero;2014M03;1.853.344
Total;UE28 sin España;Viajero;2014M02;1.334.770
Total;UE28 sin España;Viajero;2014M01;1.150.323
Total;UE28 sin España;Viajero;2013M12;1.247.472
Total;UE28 sin España;Viajero;2013M11;1.470.108
Total;UE28 sin España;Viajero;2013M10;2.819.601
Total;UE28 sin España;Viajero;2013M09;3.494.866
Total;UE28 sin España;Viajero;2013M08;4.024.991
Total;UE28 sin España;Viajero;2013M07;3.600.945
Total;UE28 sin España;Viajero;2013M06;3.263.944
Total;UE28 sin España;Viajero;2013M05;3.306.726
Total;UE28 sin España;Viajero;2013M04;2.313.698
Total;UE28 sin España;Viajero;2013M03;1.828.577
Total;UE28 sin España;Viajero;2013M02;1.252.696
Total;UE28 sin España;Viajero;2013M01;1.060.931
Total;UE28 sin España;Viajero;2012M12;1.163.665
Total;UE28 sin España;Viajero;2012M11;1.415.599
Total;UE28 sin España;Viajero;2012M10;2.677.166
Total;UE28 sin España;Viajero;2012M09;3.488.690
Total;UE28 sin España;Viajero;2012M08;3.905.149
Total;UE28 sin España;Viajero;2012M07;3.668.669
Total;UE28 sin España;Viajero;2012M06;3.205.474
Total;UE28 sin España;Viajero;2012M05;3.070.690
Total;UE28 sin España;Viajero;2012M04;2.352.031
Total;UE28 sin España;Viajero;2012M03;1.746.366
Total;UE28 sin España;Viajero;2012M02;1.355.649
Total;UE28 sin España;Viajero;2012M01;1.133.204
Total;UE28 sin España;Viajero;2011M12;1.183.661
Total;UE28 sin España;Viajero;2011M11;1.402.527
Total;UE28 sin España;Viajero;2011M10;2.774.823
Total;UE28 sin España;Viajero;2011M09;3.310.195
Total;UE28 sin España;Viajero;2011M08;3.911.630
Total;UE28 sin España;Viajero;2011M07;3.637.218
Total;UE28 sin España;Viajero;2011M06;3.221.210
Total;UE28 sin España;Viajero;2011M05;3.009.943
Total;UE28 sin España;Viajero;2011M04;2.489.735
Total;UE28 sin España;Viajero;2011M03;1.815.549
Total;UE28 sin España;Viajero;2011M02;1.348.527
Total;UE28 sin España;Viajero;2011M01;1.116.590
Total;UE28 sin España;Viajero;2010M12;1.164.424
Total;UE28 sin España;Viajero;2010M11;1.398.690
Total;UE28 sin España;Viajero;2010M10;2.567.939
Total;UE28 sin España;Viajero;2010M09;3.055.760
Total;UE28 sin España;Viajero;2010M08;3.562.529
Total;UE28 sin España;Viajero;2010M07;3.316.149
Total;UE28 sin España;Viajero;2010M06;2.772.308
Total;UE28 sin España;Viajero;2010M05;2.893.517
Total;UE28 sin España;Viajero;2010M04;2.210.212
Total;UE28 sin España;Viajero;2010M03;1.582.479
Total;UE28 sin España;Viajero;2010M02;1.228.125
Total;UE28 sin España;Viajero;2010M01;1.009.141
Total;UE28 sin España;Viajero;2009M12;1.092.307
Total;UE28 sin España;Viajero;2009M11;1.236.545
Total;UE28 sin España;Viajero;2009M10;2.307.873
Total;UE28 sin España;Viajero;2009M09;2.732.446
Total;UE28 sin España;Viajero;2009M08;3.174.707
Total;UE28 sin España;Viajero;2009M07;2.998.789
Total;UE28 sin España;Viajero;2009M06;2.700.907
Total;UE28 sin España;Viajero;2009M05;2.725.642
Total;UE28 sin España;Viajero;2009M04;2.061.423
Total;UE28 sin España;Viajero;2009M03;1.535.457
Total;UE28 sin España;Viajero;2009M02;1.170.455
Total;UE28 sin España;Viajero;2009M01;1.006.445
Total;UE28 sin España;Viajero;2008M12;1.118.843
Total;UE28 sin España;Viajero;2008M11;1.334.219
Total;UE28 sin España;Viajero;2008M10;2.469.065
Total;UE28 sin España;Viajero;2008M09;3.096.139
Total;UE28 sin España;Viajero;2008M08;3.605.284
Total;UE28 sin España;Viajero;2008M07;3.323.783
Total;UE28 sin España;Viajero;2008M06;2.989.106
Total;UE28 sin España;Viajero;2008M05;3.090.530
Total;UE28 sin España;Viajero;2008M04;2.287.153
Total;UE28 sin España;Viajero;2008M03;1.901.367
Total;UE28 sin España;Viajero;2008M02;1.443.358
Total;UE28 sin España;Viajero;2008M01;1.230.064
Total;UE28 sin España;Viajero;2007M12;1.279.866
Total;UE28 sin España;Viajero;2007M11;1.497.841
Total;UE28 sin España;Viajero;2007M10;2.546.744
Total;UE28 sin España;Viajero;2007M09;3.181.796
Total;UE28 sin España;Viajero;2007M08;3.608.229
Total;UE28 sin España;Viajero;2007M07;3.300.594
Total;UE28 sin España;Viajero;2007M06;3.052.272
Total;UE28 sin España;Viajero;2007M05;2.869.029
Total;UE28 sin España;Viajero;2007M04;2.300.700
Total;UE28 sin España;Viajero;2007M03;1.821.208
Total;UE28 sin España;Viajero;2007M02;1.340.316
Total;UE28 sin España;Viajero;2007M01;1.165.266
Total;UE28 sin España;Viajero;2006M12;1.145.751
Total;UE28 sin España;Viajero;2006M11;1.364.583
Total;UE28 sin España;Viajero;2006M10;2.484.525
Total;UE28 sin España;Viajero;2006M09;3.081.018
Total;UE28 sin España;Viajero;2006M08;3.436.335
Total;UE28 sin España;Viajero;2006M07;3.250.516
Total;UE28 sin España;Viajero;2006M06;2.996.218
Total;UE28 sin España;Viajero;2006M05;2.918.413
Total;UE28 sin España;Viajero;2006M04;2.272.991
Total;UE28 sin España;Viajero;2006M03;1.683.033
Total;UE28 sin España;Viajero;2006M02;1.277.734
Total;UE28 sin España;Viajero;2006M01;1.080.603
Total;UE28 sin España;Viajero;2005M12;959.726
Total;UE28 sin España;Viajero;2005M11;1.173.600
Total;UE28 sin España;Viajero;2005M10;2.164.548
Total;UE28 sin España;Viajero;2005M09;2.748.460
Total;UE28 sin España;Viajero;2005M08;3.011.209
Total;UE28 sin España;Viajero;2005M07;2.765.099
Total;UE28 sin España;Viajero;2005M06;2.481.102
Total;UE28 sin España;Viajero;2005M05;2.509.737
Total;UE28 sin España;Viajero;2005M04;1.742.290
Total;UE28 sin España;Viajero;2005M03;1.409.088
Total;UE28 sin España;Viajero;2005M02;1.093.704
Total;UE28 sin España;Viajero;2005M01;912.659
Total;UE28 sin España;Viajero;2004M12;885.015
Total;UE28 sin España;Viajero;2004M11;1.060.553
Total;UE28 sin España;Viajero;2004M10;2.062.642
Total;UE28 sin España;Viajero;2004M09;2.478.793
Total;UE28 sin España;Viajero;2004M08;2.840.502
Total;UE28 sin España;Viajero;2004M07;2.489.221
Total;UE28 sin España;Viajero;2004M06;2.234.363
Total;UE28 sin España;Viajero;2004M05;2.408.293
Total;UE28 sin España;Viajero;2004M04;1.778.254
Total;UE28 sin España;Viajero;2004M03;1.383.908
Total;UE28 sin España;Viajero;2004M02;1.082.395
Total;UE28 sin España;Viajero;2004M01;819.997
Total;UE28 sin España;Viajero;2003M12;845.507
Total;UE28 sin España;Viajero;2003M11;977.242
Total;UE28 sin España;Viajero;2003M10;1.972.252
Total;UE28 sin España;Viajero;2003M09;2.360.111
Total;UE28 sin España;Viajero;2003M08;2.778.725
Total;UE28 sin España;Viajero;2003M07;2.483.850
Total;UE28 sin España;Viajero;2003M06;2.374.173
Total;UE28 sin España;Viajero;2003M05;2.471.305
Total;UE28 sin España;Viajero;2003M04;1.852.457
Total;UE28 sin España;Viajero;2003M03;1.361.450
Total;UE28 sin España;Viajero;2003M02;961.619
Total;UE28 sin España;Viajero;2003M01;799.101
Total;UE28 sin España;Viajero;2002M12;814.738
Total;UE28 sin España;Viajero;2002M11;961.967
Total;UE28 sin España;Viajero;2002M10;1.907.153
Total;UE28 sin España;Viajero;2002M09;2.320.343
Total;UE28 sin España;Viajero;2002M08;2.687.386
Total;UE28 sin España;Viajero;2002M07;2.341.248
Total;UE28 sin España;Viajero;2002M06;2.133.718
Total;UE28 sin España;Viajero;2002M05;2.277.115
Total;UE28 sin España;Viajero;2002M04;1.743.288
Total;UE28 sin España;Viajero;2002M03;1.418.324
Total;UE28 sin España;Viajero;2002M02;1.031.586
Total;UE28 sin España;Viajero;2002M01;777.278
Total;UE28 sin España;Viajero;2001M12;828.303
Total;UE28 sin España;Viajero;2001M11;985.693
Total;UE28 sin España;Viajero;2001M10;1.920.578
Total;UE28 sin España;Viajero;2001M09;2.384.013
Total;UE28 sin España;Viajero;2001M08;2.606.383
Total;UE28 sin España;Viajero;2001M07;2.359.023
Total;UE28 sin España;Viajero;2001M06;2.222.967
Total;UE28 sin España;Viajero;2001M05;2.342.952
Total;UE28 sin España;Viajero;2001M04;1.793.949
Total;UE28 sin España;Viajero;2001M03;1.318.743
Total;UE28 sin España;Viajero;2001M02;998.311
Total;UE28 sin España;Viajero;2001M01;785.301
Total;UE28 sin España;Viajero;2000M12;831.433
Total;UE28 sin España;Viajero;2000M11;988.636
Total;UE28 sin España;Viajero;2000M10;1.884.142
Total;UE28 sin España;Viajero;2000M09;2.404.491
Total;UE28 sin España;Viajero;2000M08;2.563.994
Total;UE28 sin España;Viajero;2000M07;2.404.149
Total;UE28 sin España;Viajero;2000M06;2.208.313
Total;UE28 sin España;Viajero;2000M05;2.266.336
Total;UE28 sin España;Viajero;2000M04;1.826.420
Total;UE28 sin España;Viajero;2000M03;1.335.783
Total;UE28 sin España;Viajero;2000M02;946.523
Total;UE28 sin España;Viajero;2000M01;762.588
Total;UE28 sin España;Viajero;1999M12;791.343
Total;UE28 sin España;Viajero;1999M11;1.041.153
Total;UE28 sin España;Viajero;1999M10;1.981.456
Total;UE28 sin España;Viajero;1999M09;2.404.523
Total;UE28 sin España;Viajero;1999M08;2.606.310
Total;UE28 sin España;Viajero;1999M07;2.386.994
Total;UE28 sin España;Viajero;1999M06;2.313.831
Total;UE28 sin España;Viajero;1999M05;2.408.056
Total;UE28 sin España;Viajero;1999M04;1.686.191
Total;UE28 sin España;Viajero;1999M03;1.237.048
Total;UE28 sin España;Viajero;1999M02;943.377
Total;UE28 sin España;Viajero;1999M01;789.907
Total;UE28 sin España;Pernoctaciones;2025M04;14.827.733
Total;UE28 sin España;Pernoctaciones;2025M03;11.058.597
Total;UE28 sin España;Pernoctaciones;2025M02;9.200.219
Total;UE28 sin España;Pernoctaciones;2025M01;8.467.564
Total;UE28 sin España;Pernoctaciones;2024M12;8.190.338
Total;UE28 sin España;Pernoctaciones;2024M11;9.269.707
Total;UE28 sin España;Pernoctaciones;2024M10;19.257.353
Total;UE28 sin España;Pernoctaciones;2024M09;22.068.044
Total;UE28 sin España;Pernoctaciones;2024M08;25.635.654
Total;UE28 sin España;Pernoctaciones;2024M07;23.380.538
Total;UE28 sin España;Pernoctaciones;2024M06;20.998.276
Total;UE28 sin España;Pernoctaciones;2024M05;20.332.417
Total;UE28 sin España;Pernoctaciones;2024M04;14.316.301
Total;UE28 sin España;Pernoctaciones;2024M03;11.709.654
Total;UE28 sin España;Pernoctaciones;2024M02;9.087.492
Total;UE28 sin España;Pernoctaciones;2024M01;8.222.153
Total;UE28 sin España;Pernoctaciones;2023M12;8.040.748
Total;UE28 sin España;Pernoctaciones;2023M11;9.159.741
Total;UE28 sin España;Pernoctaciones;2023M10;18.116.276
Total;UE28 sin España;Pernoctaciones;2023M09;21.451.781
Total;UE28 sin España;Pernoctaciones;2023M08;24.549.644
Total;UE28 sin España;Pernoctaciones;2023M07;22.332.223
Total;UE28 sin España;Pernoctaciones;2023M06;19.495.555
Total;UE28 sin España;Pernoctaciones;2023M05;18.204.178
Total;UE28 sin España;Pernoctaciones;2023M04;13.682.510
Total;UE28 sin España;Pernoctaciones;2023M03;9.674.481
Total;UE28 sin España;Pernoctaciones;2023M02;8.082.324
Total;UE28 sin España;Pernoctaciones;2023M01;7.420.891
Total;UE28 sin España;Pernoctaciones;2022M12;7.249.806
Total;UE28 sin España;Pernoctaciones;2022M11;8.091.857
Total;UE28 sin España;Pernoctaciones;2022M10;16.112.899
Total;UE28 sin España;Pernoctaciones;2022M09;19.828.387
Total;UE28 sin España;Pernoctaciones;2022M08;23.827.710
Total;UE28 sin España;Pernoctaciones;2022M07;21.634.939
Total;UE28 sin España;Pernoctaciones;2022M06;18.976.581
Total;UE28 sin España;Pernoctaciones;2022M05;16.277.162
Total;UE28 sin España;Pernoctaciones;2022M04;12.127.864
Total;UE28 sin España;Pernoctaciones;2022M03;8.418.647
Total;UE28 sin España;Pernoctaciones;2022M02;6.188.423
Total;UE28 sin España;Pernoctaciones;2022M01;4.797.514
Total;UE28 sin España;Pernoctaciones;2021M12;5.416.266
Total;UE28 sin España;Pernoctaciones;2021M11;7.208.615
Total;UE28 sin España;Pernoctaciones;2021M10;12.147.980
Total;UE28 sin España;Pernoctaciones;2021M09;11.899.635
Total;UE28 sin España;Pernoctaciones;2021M08;12.937.221
Total;UE28 sin España;Pernoctaciones;2021M07;9.678.268
Total;UE28 sin España;Pernoctaciones;2021M06;4.455.490
Total;UE28 sin España;Pernoctaciones;2021M05;2.127.949
Total;UE28 sin España;Pernoctaciones;2021M04;972.156
Total;UE28 sin España;Pernoctaciones;2021M03;706.606
Total;UE28 sin España;Pernoctaciones;2021M02;453.475
Total;UE28 sin España;Pernoctaciones;2021M01;555.332
Total;UE28 sin España;Pernoctaciones;2020M12;978.407
Total;UE28 sin España;Pernoctaciones;2020M11;858.981
Total;UE28 sin España;Pernoctaciones;2020M10;1.075.079
Total;UE28 sin España;Pernoctaciones;2020M09;1.439.979
Total;UE28 sin España;Pernoctaciones;2020M08;4.204.340
