Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Viajero;Total;Residentes en el Extranjero;2021M03;1,15
Viajero;Total;Residentes en el Extranjero;2021M02;1,36
Viajero;Total;Residentes en el Extranjero;2021M01;1,5
Viajero;Total;Residentes en el Extranjero;2020M12;1,44
Viajero;Total;Residentes en el Extranjero;2020M11;1,27
Viajero;Total;Residentes en el Extranjero;2020M10;1,13
Viajero;Total;Residentes en el Extranjero;2020M09;1,12
Viajero;Total;Residentes en el Extranjero;2020M08;1,17
Viajero;Total;Residentes en el Extranjero;2020M07;1,08
Viajero;Total;Residentes en el Extranjero;2020M06;2,33
Viajero;Total;Residentes en el Extranjero;2020M05;7,89
Viajero;Total;Residentes en el Extranjero;2020M04;..
Viajero;Total;Residentes en el Extranjero;2020M03;1,8
Viajero;Total;Residentes en el Extranjero;2020M02;0,65
Viajero;Total;Residentes en el Extranjero;2020M01;0,71
Viajero;Total;Residentes en el Extranjero;2019M12;0,71
Viajero;Total;Residentes en el Extranjero;2019M11;0,63
Viajero;Total;Residentes en el Extranjero;2019M10;0,62
Viajero;Total;Residentes en el Extranjero;2019M09;0,54
Viajero;Total;Residentes en el Extranjero;2019M08;0,54
Viajero;Total;Residentes en el Extranjero;2019M07;0,52
Viajero;Total;Residentes en el Extranjero;2019M06;0,55
Viajero;Total;Residentes en el Extranjero;2019M05;0,58
Viajero;Total;Residentes en el Extranjero;2019M04;0,61
Viajero;Total;Residentes en el Extranjero;2019M03;0,63
Viajero;Total;Residentes en el Extranjero;2019M02;0,65
Viajero;Total;Residentes en el Extranjero;2019M01;0,73
Viajero;Total;Residentes en el Extranjero;2018M12;0,68
Viajero;Total;Residentes en el Extranjero;2018M11;0,64
Viajero;Total;Residentes en el Extranjero;2018M10;0,6
Viajero;Total;Residentes en el Extranjero;2018M09;0,5
Viajero;Total;Residentes en el Extranjero;2018M08;0,52
Viajero;Total;Residentes en el Extranjero;2018M07;0,53
Viajero;Total;Residentes en el Extranjero;2018M06;0,57
Viajero;Total;Residentes en el Extranjero;2018M05;0,54
